Entrez_A	Entrez_B	num_dbs	dbs
9349	6142	1	wan
9349	6223	1	wan
9349	6146	1	wan
9349	6169	1	wan
9349	3921	1	wan
9349	6176	1	wan
9349	6230	1	wan
9349	6144	1	wan
9349	6204	1	wan
9349	6231	1	wan
9349	6201	1	wan
9349	6232	1	wan
9349	6158	1	wan
9349	100526842	1	wan
9349	6161	1	wan
9349	64963	1	wan
9349	8886	1	wan
9349	23481	1	wan
9349	26354	1	wan
9349	55661	1	wan
9349	55299	1	wan
9349	6170	1	wan
9349	6227	1	wan
9349	57696	1	wan
9349	10921	1	wan
9349	4724	1	wan
9349	353	1	wan
9349	64969	1	wan
6233	65057	1	dip
6233	11047	1	dip
6233	7965	1	dip
6233	207	1	dip
6233	267	1	dip
6233	118429	1	dip
6233	60489	1	dip
6233	25820	1	dip
6233	8312	1	dip
6233	8313	1	dip
6233	581	1	dip
6233	8915	1	dip
6233	604	1	dip
6233	638	1	dip
6233	329	1	dip
6233	330	1	dip
6233	79444	1	dip
6233	672	1	dip
6233	8945	1	dip
6233	84433	1	dip
6233	868	1	dip
6233	867	1	dip
6233	595	1	dip
6233	915	1	dip
6233	996	1	dip
6233	997	1	dip
6233	8851	1	dip
6233	1026	1	dip
6233	1027	1	dip
6233	1029	1	dip
6233	1080	1	dip
6233	11200	1	dip
6233	51138	1	dip
6233	51185	1	dip
6233	1387	1	dip
6233	1452	1	dip
6233	1499	1	dip
6233	8454	1	dip
6233	8453	1	dip
6233	1642	1	dip
6233	23586	1	dip
6233	27000	1	dip
6233	1786	1	dip
6233	1956	1	dip
6233	2033	1	dip
6233	2059	1	dip
6233	2064	1	dip
6233	2066	1	dip
6233	2081	1	dip
6233	2099	1	dip
6233	2115	1	dip
6233	199990	1	dip
6233	55215	1	dip
6233	54461	1	dip
6233	2744	1	dip
6233	4935	1	dip
6233	2873	1	dip
6233	339942	1	dip
6233	3014	1	dip
6233	9709	1	dip
6233	3077	1	dip
6233	8349	1	dip
6233	92815	1	dip
6233	3191	1	dip
6233	3309	1	dip
6233	3398	1	dip
6233	64135	1	dip
6233	8517	1	dip
6233	10320	1	dip
6233	10989	1	dip
6233	3643	1	dip
6233	51447	1	dip
6233	3659	1	dip
6233	83737	1	dip
6233	3705	1	dip
6233	221037	1	dip
6233	3725	1	dip
6233	3741	1	dip
6233	10661	1	dip
6233	26013	1	dip
6233	27040	1	dip
6233	26524	1	dip
6233	4040	1	dip
6233	120892	1	dip
6233	8491	1	dip
6233	4137	1	dip
6233	4140	1	dip
6233	57506	1	dip
6233	4170	1	dip
6233	9656	1	dip
6233	4193	1	dip
6233	4212	1	dip
6233	9927	1	dip
6233	100507436	1	dip
6233	64112	1	dip
6233	10933	1	dip
6233	9112	1	dip
6233	4084	1	dip
6233	4609	1	dip
6233	4734	1	dip
6233	4780	1	dip
6233	4778	1	dip
6233	4792	1	dip
6233	85409	1	dip
6233	23057	1	dip
6233	4842	1	dip
6233	4843	1	dip
6233	4851	1	dip
6233	9572	1	dip
6233	55611	1	dip
6233	55593	1	dip
6233	79728	1	dip
6233	5111	1	dip
6233	27250	1	dip
6233	5159	1	dip
6233	5830	1	dip
6233	5209	1	dip
6233	5216	1	dip
6233	65018	1	dip
6233	5071	1	dip
6233	5685	1	dip
6233	5687	1	dip
6233	5701	1	dip
6233	5708	1	dip
6233	5710	1	dip
6233	5713	1	dip
6233	5728	1	dip
6233	83452	1	dip
6233	5886	1	dip
6233	10616	1	dip
6233	25898	1	dip
6233	5978	1	dip
6233	55159	1	dip
6233	5997	1	dip
6233	55288	1	dip
6233	8737	1	dip
6233	494470	1	dip
6233	165918	1	dip
6233	6045	1	dip
6233	55072	1	dip
6233	6048	1	dip
6233	9025	1	dip
6233	50484	1	dip
6233	81858	1	dip
6233	6497	1	dip
6233	4891	1	dip
6233	4091	1	dip
6233	4092	1	dip
6233	64750	1	dip
6233	6615	1	dip
6233	6667	1	dip
6233	8878	1	dip
6233	6720	1	dip
6233	10617	1	dip
6233	10963	1	dip
6233	10273	1	dip
6233	6613	1	dip
6233	6612	1	dip
6233	84447	1	dip
6233	23118	1	dip
6233	257397	1	dip
6233	23435	1	dip
6233	9894	1	dip
6233	92610	1	dip
6233	340061	1	dip
6233	7128	1	dip
6233	7124	1	dip
6233	10043	1	dip
6233	9804	1	dip
6233	7153	1	dip
6233	7157	1	dip
6233	8626	1	dip
6233	7161	1	dip
6233	7186	1	dip
6233	7187	1	dip
6233	7189	1	dip
6233	9675	1	dip
6233	7317	1	dip
6233	55236	1	dip
6233	7319	1	dip
6233	7320	1	dip
6233	11065	1	dip
6233	7321	1	dip
6233	7322	1	dip
6233	7323	1	dip
6233	3093	1	dip
6233	7332	1	dip
6233	9246	1	dip
6233	7334	1	dip
6233	7335	1	dip
6233	7337	1	dip
6233	29979	1	dip
6233	29978	1	dip
6233	26043	1	dip
6233	7345	1	dip
6233	51720	1	dip
6233	8408	1	dip
6233	84747	1	dip
6233	9094	1	dip
6233	9958	1	dip
6233	11274	1	dip
6233	27005	1	dip
6233	84749	1	dip
6233	8078	1	dip
6233	7874	1	dip
6233	9101	1	dip
6233	8239	1	dip
6233	7415	1	dip
6233	51028	1	dip
6233	331	1	dip
6233	7507	1	dip
6233	7520	1	dip
6233	7529	1	dip
6233	7532	1	dip
6233	7533	1	dip
6233	10971	1	dip
6233	7534	1	dip
6233	7311	1	wan
7311	65057	1	dip
7311	11047	1	dip
7311	7965	1	dip
7311	207	1	dip
7311	267	1	dip
7311	118429	1	dip
7311	60489	1	dip
7311	25820	1	dip
7311	8312	1	dip
7311	8313	1	dip
7311	581	1	dip
7311	8915	1	dip
7311	604	1	dip
7311	638	1	dip
7311	329	1	dip
7311	330	1	dip
7311	79444	1	dip
7311	672	1	dip
7311	8945	1	dip
7311	84433	1	dip
7311	868	1	dip
7311	867	1	dip
7311	595	1	dip
7311	915	1	dip
7311	996	1	dip
7311	997	1	dip
7311	8851	1	dip
7311	1026	1	dip
7311	1027	1	dip
7311	1029	1	dip
7311	1080	1	dip
7311	11200	1	dip
7311	51138	1	dip
7311	51185	1	dip
7311	1387	1	dip
7311	1452	1	dip
7311	1499	1	dip
7311	8454	1	dip
7311	8453	1	dip
7311	1642	1	dip
7311	23586	1	dip
7311	27000	1	dip
7311	1786	1	dip
7311	1956	1	dip
7311	2033	1	dip
7311	2059	1	dip
7311	2064	1	dip
7311	2066	1	dip
7311	2081	1	dip
7311	2099	1	dip
7311	2115	1	dip
7311	199990	1	dip
7311	55215	1	dip
7311	54461	1	dip
7311	2744	1	dip
7311	4935	1	dip
7311	2873	1	dip
7311	339942	1	dip
7311	3014	1	dip
7311	9709	1	dip
7311	3077	1	dip
7311	8349	1	dip
7311	92815	1	dip
7311	3191	1	dip
7311	3309	1	dip
7311	3398	1	dip
7311	64135	1	dip
7311	8517	1	dip
7311	10320	1	dip
7311	10989	1	dip
7311	3643	1	dip
7311	51447	1	dip
7311	3659	1	dip
7311	83737	1	dip
7311	3705	1	dip
7311	221037	1	dip
7311	3725	1	dip
7311	3741	1	dip
7311	10661	1	dip
7311	26013	1	dip
7311	26524	1	dip
7311	27040	1	dip
7311	4040	1	dip
7311	120892	1	dip
7311	8491	1	dip
7311	4137	1	dip
7311	4140	1	dip
7311	57506	1	dip
7311	4170	1	dip
7311	9656	1	dip
7311	4193	1	dip
7311	4212	1	dip
7311	9927	1	dip
7311	100507436	1	dip
7311	64112	1	dip
7311	10933	1	dip
7311	9112	1	dip
7311	4084	1	dip
7311	4609	1	dip
7311	4734	1	dip
7311	4780	1	dip
7311	4778	1	dip
7311	4792	1	dip
7311	85409	1	dip
7311	23057	1	dip
7311	4842	1	dip
7311	4843	1	dip
7311	4851	1	dip
7311	9572	1	dip
7311	55611	1	dip
7311	55593	1	dip
7311	79728	1	dip
7311	5111	1	dip
7311	27250	1	dip
7311	5159	1	dip
7311	5830	1	dip
7311	5209	1	dip
7311	5216	1	dip
7311	65018	1	dip
7311	5071	1	dip
7311	5685	1	dip
7311	5687	1	dip
7311	5701	1	dip
7311	5708	1	dip
7311	5710	1	dip
7311	5713	1	dip
7311	5728	1	dip
7311	83452	1	dip
7311	5886	1	dip
7311	10616	1	dip
7311	25898	1	dip
7311	5978	1	dip
7311	55159	1	dip
7311	5997	1	dip
7311	55288	1	dip
7311	8737	1	dip
7311	494470	1	dip
7311	165918	1	dip
