,AUPRC
Thyroid associated opthalmopathies,0.06331964800104727
Brain Ischemia,0.04672478874525525
Pick Disease of the Brain,0.05748028444461
Skin Erosion,0.06952652386766195
Endometrial adenocarcinoma,0.09327954762112785
Cholera,0.04127149379796167
Uveitis,0.05229243215539389
"PIGMENTARY DISORDER, RETICULATE, WITH SYSTEMIC MANIFESTATIONS",0.076194520347225
PACHYONYCHIA CONGENITA 3,0.06089296126942169
"Multiple Sclerosis, Relapsing-Remitting",0.06804985114519466
"Carcinoma, Papillary",0.07378081875636949
Hyperplastic Polyp,0.05106477784177703
Hyperthyroidism,0.06580869586685624
Agnosia for Pain,0.029486547692014402
leiomyosarcoma,0.05782952045342542
Alcohol Use Disorder,0.03489961907080817
Rhinovirus infection,0.09072627809146608
Childhood asthma,0.03995777175695153
"Obesity, Morbid",0.04736596505495612
"Niemann-Pick Disease, Type C",0.04832815249525095
"Stress, Psychological",0.06445441119398704
"Gastritis, Atrophic",0.052650252617112085
"Ichthyosis, X-Linked",0.0674142603292988
Chagas Disease,0.04462431801408531
Adult Synovial Sarcoma,0.05872519716529731
Neointimal hyperplasia,0.05729194335487888
Hyperlipoproteinemia Type IIa,0.07377637004782675
Childhood Synovial Sarcoma,0.05650502453709255
"Dementia, Vascular",0.05897171721879972
Charcot-Marie-Tooth Disease,0.028937321180729243
Retinopathy of Prematurity,0.0742769532333896
Henoch-Schoenlein Purpura,0.06320797723804762
liposarcoma,0.05709960613349408
Frontotemporal Lobar Degeneration,0.04325277525440277
"Leishmaniasis, Visceral",0.054470555948725165
Leishmaniasis,0.060533965149967485
"Hepatitis, Chronic",0.06233081531004233
Oligospermia,0.037817095225492585
Hemangioma,0.08232029157091522
Prediabetes syndrome,0.04516782697561897
Skin Carcinogenesis,0.0715929127251011
Diabetic Cardiomyopathies,0.049227244284641335
Cerebral Palsy,0.030241401681651795
Rheumatism,0.05455184112584223
Fragile X Syndrome,0.04025812339432523
Zika Virus Infection,0.0798121512521214
Ductal Breast Carcinoma,0.06059219981075282
Hydrocephalus,0.04016325452817477
Glycogen storage disease type II,0.08660918397751
Malignant Squamous Cell Neoplasm,0.04376594799115011
Myopia,0.036691503748440824
androgen independent prostate cancer,0.0698182524572726
Pterygium,0.06836831164358813
Aortic Valve Stenosis,0.04704568599595658
Glomerulosclerosis (disorder),0.03863895448926747
Myositis,0.03493764356541068
Anorexia Nervosa,0.06379352410784234
Intraepithelial Neoplasia,0.051445830080755546
Peripheral T-Cell Lymphoma,0.05726117263872627
Pancreatic intraepithelial neoplasia,0.05313955120175051
"Carcinoma, Lewis Lung",0.06817090968729389
Breast adenocarcinoma,0.05748544479651827
Anaplastic astrocytoma,0.07098533252813657
"Cicatrix, Hypertrophic",0.06368848744887895
Kidney Calculi,0.04506919268738633
Sporadic Breast Carcinoma,0.08812871152501085
Inflammatory Breast Carcinoma,0.07523070128419446
Familial Alzheimer Disease (FAD),0.0756864245238897
Drug Resistant Epilepsy,0.0487051661406867
Pancytopenia,0.06511587167135305
beta Thalassemia,0.04795032257557289
