	entrezgene	mean	bases	median	transcript_count
56	100129924	0.5108104918300653	612.0	1.01	2
57	100129969	0.36068899341621563	677.0	0.22816666666666666	3
58	10013	0.6343135921141397	2572.3846153846152	1.0265384615384616	26
59	100130086	-0.0500306509433962	1272.0	-0.121	1
60	100130274	0.2411378545454545	1320.0	0.111	1
61	100130301	0.39482606289667305	337.0	0.25233333333333335	3
62	100130302	-0.168791	2664.0	-0.0565	2
63	100130311	0.4561866253635834	435.0	0.253	2
64	100130348	0.4957835185185185	351.0	1.026	1
65	100130361	-0.334009569579288	1545.0	-0.072	1
66	100130519	0.4113528904109589	876.0	0.855	1
67	100130520	0.0855616909690969	534.0	0.116	2
68	100130613	0.2214873288740245	897.0	0.169	1
69	100130705	0.6396630527306968	531.0	1.026	1
70	100130733	0.6564251018518519	1042.5	1.026	2
71	100130742	0.45469706118295017	810.0	0.28675	2
72	100130771	0.467933378330533	315.0	0.5299999999999999	6
73	100130827	0.5280576083333334	1080.0	1.026	1
74	100130890	0.5086022161989795	315.0	0.321	2
75	100130933	0.186143	189.0	0.173	2
76	100130958	0.3298298614540466	729.0	0.24	1
77	100130988	0.5516248451025056	1317.0	1.026	1
78	100131017	0.4859999429519072	3015.0	0.947	1
79	100131137	0.1480022230576441	399.0	0.136	1
80	100131187	0.5806375190648136	292.2	1.026	5
81	100131211	0.490089466507177	1254.0	0.271	1
82	100131244	0.672115	1143.0	0.962	1
83	100131303	0.4053302903225806	372.0	0.203	1
84	100131378	0.5884170549828179	582.0	0.928	1
85	100131390	0.8100702515463917	1455.0	1.014	1
86	100131439	-0.0426379521367521	585.0	0.11	1
87	100131608	-0.0084676702380952	840.0	0.319	1
88	100131755	0.4041919999999999	6873.0	0.227	1
89	100131801	0.6188673092189616	175.8	0.8859	5
90	100131827	-0.1466866802589429	1895.0	0.04633333333333334	3
91	100131897	0.6285818457711443	1608.0	1.026	1
92	100131902	0.037887	309.0	0.067	1
93	100131980	0.0311681317829457	903.0	0.423	1
94	100132015	0.027973	2145.0	0.051	1
95	100132074	0.7042976084081246	1287.0	0.994	2
96	100132146	0.5794123373015874	252.0	1.026	1
97	100132202	-0.5068900141072149	2481.0	0.213	1
98	100132247	-0.2904232767220902	2526.0	0.1	2
99	100132304	0.0515706	240.0	0.021	1
100	100132386	0.251637	633.0	0.581	1
101	100132396	0.0471039944629014	903.0	0.422	1
102	100132399	-0.4950620621468926	354.0	-0.138	1
103	100132406	-0.268585974265321	6567.0	0.17149999999999999	2
104	100132463	0.373581	663.0	0.966	1
105	100132476	0.320109	468.0	0.9045	1
106	100132565	-0.3591972564102564	1911.0	-0.148	1
107	100132916	0.7155651759834369	483.0	1.026	1
108	100132963	0.19695638	300.0	0.1825	1
109	100132994	-0.7428215378640776	1545.0	-0.2085	1
110	100133053	0.0091068348623853	327.0	0.426	1
111	100133093	0.1643517666666666	270.0	0.347	1
112	100133251	-0.0013618321428571	840.0	0.389	1
113	100133267	0.2818211249999999	240.0	0.108	1
114	100133315	0.5657508805648234	605.4	1.0306000000000002	5
115	100133941	0.4396094410436347	246.6	0.3243	5
116	100134444	0.396038	1302.0	0.621	1
117	100134934	0.4270749555361813	297.0	0.259	2
118	100134938	0.1824066691919192	792.0	0.671	1
119	100137047	0.6751812174244398	802.5	1.025	2
120	100137049	0.5576112195225916	2346.0	1.021	2
121	10014	0.8410028754291428	3318.6	1.134	5
122	100141515	0.1867993759398496	798.0	0.158	1
123	100142659	0.039985	2334.0	0.233	1
124	100144748	0.286177	537.0	0.145	1
125	10015	0.8696079452064895	2614.5	1.138	2
126	100151643	0.079081	135.0	0.029	1
127	10016	0.6563457883770474	377.0	1.0418333333333334	6
128	100169851	0.3811009528619528	297.0	0.29	1
129	10017	0.12524114756433513	670.5	0.0865	2
130	100170229	-0.091731	2148.0	0.087	2
131	100170765	0.3577813969465649	393.0	0.226	1
132	100170841	0.5190939999999999	1140.0	0.926	1
133	100174949	0.8285606958201616	2847.0	1.138	1
134	10018	0.6787486991622149	521.0	1.026	6
135	100188893	0.6763064177777778	225.0	1.026	2
136	10019	0.5478886854234749	1425.0	1.026	2
137	100190949	0.13470015625	480.0	0.415	1
138	100191040	0.480704	1062.0	0.863	3
139	1002	0.5829237607605287	2583.0	1.0146666666666666	3
140	10020	0.8641358274660377	2041.8	1.138	5
141	10021	0.6996839861572536	3612.0	0.984	1
142	10022	0.2137131470588235	408.0	0.142	1
143	10023	0.445746	840.0	0.93	1
144	10024	0.3866461835288081	985.125	0.238125	8
145	10025	0.5984021499062546	2581.0	1.026	3
146	10026	0.7359832682543571	1031.0	1.138	3
147	100271715	0.920712423480528	1672.2	1.0708	5
148	100271835	0.5212303105756357	747.0	0.764	1
149	100271846	-0.224788	1608.0	0.395	1
150	100271849	0.42872580037451125	1017.6	0.8404	5
151	100271927	0.6169297849365353	2294.0	1.008	3
152	100272147	0.7866330241545894	207.0	1.026	2
153	100286963	0.1443442272727272	264.0	0.339	1
154	100287045	-0.0878216308243727	1395.0	0.323	1
155	100287144	0.035231	1593.0	0.406	1
156	100287171	0.3545244706723892	1398.0	0.6665	2
157	100287178	0.040899	1593.0	0.301	1
158	100287205	0.016478	1593.0	0.301	1
159	100287226	-0.3640896496408619	3759.0	0.28	1
160	100287238	0.040228	1593.0	0.299	1
