Entrez_A	Entrez_B	ID
55840	64431	715
3015	64431	716
64431	8607	717
10856	64431	718
10847	64431	719
64431	6944	720
64431	8089	721
10467	64431	722
83444	93973	723
125476	93973	724
54891	93973	725
283899	93973	726
54617	93973	727
10445	93973	728
4798	93973	729
8607	93973	730
10856	93973	731
6929	93973	732
100	222255	733
100	127002	734
100	56970	735
100	1803	736
100	2648	737
3680	8038	738
3685	8038	739
3688	8038	740
3690	8038	741
4323	8038	742
3678	8751	743
3680	8751	744
3685	8751	745
3688	8751	746
3690	8751	747
53616	9211	748
3685	8745	749
3690	8745	750
101	3680	751
101	3688	752
3680	8754	753
3685	8754	754
3688	8754	755
3693	8754	756
103	1660	757
103	3069	758
103	5591	759
103	7520	760
103	2547	761
100	112869	762
100	55578	763
100	8464	764
100	9913	765
100	93624	766
100	10474	767
100	6881	768
100	6883	769
100	27097	770
100	10629	771
100	51616	772
100	6880	773
100	8295	774
100	23326	775
119	2039	776
119	6513	777
9289	975	778
2767	9289	779
2776	9289	780
2782	9289	781
23284	23767	782
219699	23284	783
137970	23284	784
79955	84059	785
7399	84059	786
25861	84059	787
79709	9370	788
8985	9370	789
148	7852	790
150	2891	791
153	9495	792
153	7852	793
153	1739	794
153	5576	795
153	5577	796
154	9495	797
1080	154	798
154	3778	799
105371893	154	800
121536	8726	801
121536	2146	802
121536	5928	803
121536	23512	804
1499	4301	805
27125	4299	806
4299	57332	807
4299	904	808
4299	905	809
1025	4299	810
4299	85403	811
22936	4299	812
4299	80237	813
4299	8178	814
4298	4299	815
4299	4300	816
27125	904	817
27125	905	818
1025	27125	819
27125	85403	820
22936	27125	821
27125	80237	822
27125	8178	823
27125	4298	824
27125	4300	825
10632	10939	826
10939	2395	827
10939	3313	828
10939	3329	829
10939	57128	830
10939	6389	831
23405	27161	832
27161	3692	833
27161	8087	834
27161	3326	835
27161	4343	836
23054	27161	837
27161	6130	838
27161	6895	839
27161	7538	840
192670	7538	841
10555	26580	842
10555	23175	843
8443	8540	844
183	718	845
183	5553	846
54806	9001	847
4867	54806	848
302	79026	849
3981	79026	850
7518	79026	851
196	405	852
196	8450	853
1642	196	854
196	9978	855
10607	196	856
5478	9131	857
7965	9255	858
101928243	9255	859
9255	9521	860
2058	9255	861
3376	9255	862
3735	9255	863
51520	9255	864
4141	9255	865
5917	9255	867
101928243	7965	868
7965	9521	869
2058	7965	870
3376	7965	871
3735	7965	872
51520	7965	873
4141	7965	874
5917	7965	876
2672	84962	877
3065	84962	878
3066	84962	879
84962	8841	880
10419	84962	881
6615	84962	882
204	843	883
204	8772	884
5144	9590	885
5566	9590	886
11214	5606	887
11214	51776	888
11214	1432	889
11214	5585	890
26292	8165	891
5577	8165	892
1739	9495	893
3778	9495	894
5530	9495	895
5576	9495	896
5577	9495	897
1147	26993	898
10788	26993	899
26993	5970	900
26993	79155	901
10142	3784	902
10142	5499	903
10142	5566	904
10142	5576	905
207	26060	906
207	367	907
2017	207	908
207	2177	909
207	55215	910
207	2308	911
10672	207	912
10456	207	913
207	8841	914
207	3320	915
207	4846	916
207	4835	917
207	23239	918
207	23035	919
207	8115	920
207	7398	921
115825	207	922
207	57599	923
207	4904	924
208	57630	925
208	8115	926
64400	84067	927
51361	64400	928
29911	64400	929
64400	84376	930
64400	64601	931
57617	64400	932
27072	64400	933
10189	9716	934
10189	10286	935
10189	84811	936
10189	8896	937
10189	58509	938
10189	10421	939
10189	51362	940
10189	988	941
10189	51755	942
10189	29105	943
10189	1153	944
10189	11052	945
10189	51340	946
10189	56259	947
10189	51503	948
10189	57703	949
10189	10283	950
10189	10521	951
10189	9416	952
10189	7919	953
10189	1654	954
10189	51428	955
10189	9879	956
10189	1655	957
10189	7913	958
10189	1665	959
10189	8449	960
10189	60625	961
10189	9785	962
10189	1659	963
10189	1660	964
10189	22826	965
10189	9343	966
10189	9775	967
10189	8220	968
10189	2483	969
10189	55094	970
10189	3178	971
10189	3181	972
10189	220988	973
10189	3183	974
10189	3185	975
10189	3187	976
10189	3190	977
10189	4670	978
10189	10236	979
10189	3192	980
10189	27336	981
10189	10643	982
10189	3550	983
10189	57461	984
10189	57819	985
10189	27258	986
10189	25804	987
10189	11157	988
10189	51690	989
10189	51747	990
10189	4116	991
10189	4236	992
10189	4343	993
10189	23517	994
10189	4686	995
10189	22916	996
10189	11051	997
10189	10482	998
10189	26986	999
10189	94104	1000
10189	5356	1001
10189	5411	1002
10189	10450	1003
10189	10465	1004
10189	51645	1005
10189	23759	1006
10189	53938	1007
10189	5496	1008
10189	23398	1009
10189	8559	1010
10189	27339	1011
10189	26121	1012
10189	9129	1013
10189	55660	1014
10189	8899	1015
10189	9128	1016
10189	24148	1017
10189	10594	1018
10189	22827	1019
10189	22913	1020
10189	64783	1021
10189	84991	1022
10189	55696	1023
10189	58517	1024
10189	9584	1025
10189	9939	1026
10189	27316	1027
10189	10921	1028
10189	9092	1029
10189	7536	1030
10189	10291	1031
10189	8175	1032
10189	10946	1033
10189	23451	1034
10189	10992	1035
10189	23450	1036
10189	10262	1037
10189	51639	1038
10189	10569	1039
10189	10285	1040
10189	55234	1041
10189	23020	1042
10189	11017	1043
10189	9410	1044
10189	6625	1045
10189	6627	1046
10189	6626	1047
10189	6629	1048
10189	6628	1049
10189	6631	1050
10189	6632	1051
10189	6633	1052
10189	6634	1053
10189	6635	1054
10189	6636	1055
10189	6637	1056
10189	4809	1057
10189	22938	1058
10189	23013	1059
10189	10250	1060
10189	23524	1061
10189	51593	1062
10189	9295	1063
10189	6426	1064
10189	6427	1065
10189	6428	1066
10189	6429	1067
10189	6430	1068
10189	6431	1069
10189	6432	1070
10189	8683	1071
10189	25949	1072
10189	10492	1073
10189	10915	1074
10189	24144	1075
10189	9984	1076
10189	57187	1077
10189	84321	1078
10189	8563	1079
10189	79228	1080
10189	80145	1081
10189	6434	1082
10189	79002	1083
10189	10907	1084
10189	7307	1085
10189	11338	1086
10189	23350	1087
10189	26019	1088
10189	65109	1089
10189	10713	1090
10189	25962	1091
10189	51729	1092
10189	84292	1093
10189	9589	1094
10189	56949	1095
10189	55596	1096
10189	7756	1097
267	7917	1098
267	79139	1099
11160	267	1100
23197	267	1101
267	3638	1102
267	340061	1103
267	83590	1104
267	7415	1105
8029	81693	1106
154796	154810	1107
154796	51421	1108
154796	55114	1109
154796	829	1110
154796	832	1111
154796	23607	1112
1009	154796	1113
1499	154796	1114
1500	154796	1115
154810	51421	1116
154810	55114	1117
154810	8777	1118
154810	64398	1119
143098	154810	1120
10207	154810	1121
51421	55114	1122
51421	8777	1123
51421	64398	1124
143098	51421	1125
10207	51421	1126
154796	8777	1127
154796	64398	1128
143098	154796	1129
10207	154796	1130
154796	30011	1131
10393	29882	1132
10393	29945	1133
10393	51433	1134
10393	51434	1135
10393	8881	1136
10393	8697	1137
10393	996	1138
10393	999	1139
10393	4739	1140
10393	4088	1141
10393	64682	1142
29882	64682	1143
29945	64682	1144
51433	64682	1145
51434	64682	1146
64682	8881	1147
64682	8697	1148
64682	996	1149
29882	29945	1150
29882	51433	1151
29882	51434	1152
29882	8881	1153
29882	8697	1154
29882	996	1155
29945	51433	1156
29945	51434	1157
29945	8881	1158
29945	8697	1159
29945	996	1160
51433	51434	1161
51433	8881	1162
51433	8697	1163
51433	996	1164
51434	8881	1165
51434	8697	1166
51434	996	1167
4040	51129	1168
51129	6382	1169
51129	6383	1170
51129	6385	1171
283	6050	1172
288	57127	1173
288	6521	1174
57763	83987	1175
57763	9820	1176
23363	57763	1177
29123	8841	1178
23243	8945	1179
1147	23243	1180
23243	8454	1181
23243	9641	1182
23243	4791	1183
23243	5537	1184
22870	23243	1185
23243	9701	1186
23243	5970	1187
23243	5966	1188
23243	6500	1189
203286	27130	1190
203286	284086	1191
203286	27031	1192
2260	3730	1193
10541	8125	1194
708	8125	1195
5682	8125	1196
5684	8125	1197
5757	8125	1198
8125	8766	1199
5250	8125	1200
292	8125	1201
10541	5684	1202
10541	5757	1203
10541	8766	1204
10541	292	1205
10399	302	1206
302	6714	1207
309	4035	1208
310	6717	1209
162	55435	1210
164	55435	1211
55435	8906	1212
55435	8907	1213
10053	55435	1214
1174	55435	1215
55435	8905	1216
130340	55435	1217
162	164	1218
162	8906	1219
162	8907	1220
10053	162	1221
1174	162	1222
162	8905	1223
130340	162	1224
164	8906	1225
164	8907	1226
10053	164	1227
1174	164	1228
