Entrez_A	Entrez_B	ID
10121	79784	1581
10121	22989	1582
10121	4619	1583
10121	4620	1584
10121	4621	1585
10121	4622	1586
10121	4624	1587
10121	57644	1588
10121	4625	1589
10121	4626	1590
10121	4627	1591
10121	4651	1592
10121	51168	1593
10121	23026	1594
10121	399687	1595
10121	84700	1596
10121	80179	1597
10121	4640	1598
10121	4430	1599
10121	4641	1600
10121	4642	1601
10121	4643	1602
10121	4542	1603
10121	64005	1604
10121	53904	1605
10121	140469	1606
10121	4644	1607
10121	4645	1608
10121	55930	1609
10121	4646	1610
10121	4647	1611
10121	4648	1612
10121	4649	1613
10121	79990	1614
10120	441294	1615
100128553	10120	1616
10120	643854	1617
10120	4628	1618
10120	4629	1619
10120	8735	1620
10120	79784	1621
10120	22989	1622
10120	4619	1623
10120	4620	1624
10120	4621	1625
10120	4622	1626
10120	4624	1627
10120	57644	1628
10120	4625	1629
10120	4626	1630
10120	4627	1631
10120	4651	1632
10120	51168	1633
10120	23026	1634
10120	399687	1635
10120	84700	1636
10120	80179	1637
10120	4640	1638
10120	4430	1639
10120	4641	1640
10120	4642	1641
10120	4643	1642
10120	4542	1643
10120	64005	1644
10120	53904	1645
10120	140469	1646
10120	4644	1647
10120	4645	1648
10120	55930	1649
10120	4646	1650
10120	4647	1651
10120	4648	1652
10120	4649	1653
10120	79990	1654
10097	4301	1655
10097	160	1656
10097	161	1657
10097	10552	1658
10095	10097	1659
10097	81873	1660
10092	10097	1661
1008	10097	1662
1009	10097	1663
10097	1010	1664
10097	1012	1665
10097	1013	1666
10097	1014	1667
10097	1015	1668
10097	1016	1669
10097	28513	1670
10097	999	1671
10097	28316	1672
10097	64405	1673
10097	64072	1674
10097	64403	1675
1000	10097	1676
1001	10097	1677
1002	10097	1678
1003	10097	1679
1004	10097	1680
1005	10097	1681
1006	10097	1682
1007	10097	1683
10097	92211	1684
10097	54825	1685
10097	9620	1686
10097	1952	1687
10097	1951	1688
10097	1212	1689
10097	1499	1690
10097	8642	1691
10097	2195	1692
10097	2196	1693
10097	120114	1694
10097	9026	1695
10097	3092	1696
10097	3064	1697
10097	55081	1698
10097	3728	1699
10097	5818	1700
10097	57575	1701
10097	27328	1702
10097	83259	1703
10097	51294	1704
10097	65217	1705
10097	54510	1706
10097	57526	1707
10097	5097	1708
10097	64881	1709
10097	5099	1710
10097	5100	1711
10097	5101	1712
10097	56139	1713
10097	56138	1714
10097	56137	1715
10097	56136	1716
10097	56147	1717
10097	56146	1718
10097	56145	1719
10097	56144	1720
10097	56143	1721
10097	56142	1722
10097	56141	1723
10097	56140	1724
10097	9752	1725
10097	56135	1726
10097	56134	1727
10097	56126	1728
10097	56125	1729
10097	56124	1730
10097	56123	1731
10097	56122	1732
10097	56121	1733
10097	57717	1734
10097	29930	1735
10097	56133	1736
10097	56132	1737
10097	56131	1738
10097	26167	1739
10097	56130	1740
10097	56129	1741
10097	56128	1742
10097	56106	1743
10097	56105	1744
10097	26025	1745
10097	56114	1746
10097	56113	1747
10097	56112	1748
10097	56110	1749
10097	56109	1750
10097	56108	1751
10097	9708	1752
10097	56104	1753
10097	56103	1754
10097	8641	1755
10097	56100	1756
10097	56099	1757
10097	5098	1758
10097	56098	1759
10097	56097	1760
90	92	1761
90	93	1762
269	90	1763
91	92	1764
91	93	1765
269	91	1766
27302	91	1767
91	9210	1768
649	91	1769
650	91	1770
651	91	1771
652	91	1772
653	91	1773
654	91	1774
655	91	1775
353500	91	1776
656	91	1777
659	91	1778
2662	91	1779
10220	91	1780
91	9518	1781
2657	91	1782
2658	91	1783
91	9573	1784
8200	91	1785
392255	91	1786
151449	91	1787
2661	91	1788
2668	91	1789
3624	91	1790
3625	91	1791
3626	91	1792
83729	91	1793
10637	91	1794
7044	91	1795
56911	91	1796
6885	91	1798
27302	90	1800
90	9210	1801
649	90	1802
650	90	1803
651	90	1804
652	90	1805
653	90	1806
654	90	1807
655	90	1808
353500	90	1809
656	90	1810
659	90	1811
2660	91	1812
51701	91	1813
4838	91	1815
4086	91	1816
4087	91	1818
4088	91	1820
4090	91	1822
4093	91	1824
7042	91	1826
7043	91	1827
7048	91	1828
7092	91	1829
7093	91	1830
130399	92	1831
130399	93	1832
