random_means,random_medians,top_k_mean,top_k_median,k,0,1,2-5,6-10,11-20,21+,network,Name,method,weighted_mean,size
0.77,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.73,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.59,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.79,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.71,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.59,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.32,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.85,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.44,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.67,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.64,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.71,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.5,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.47,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.66,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.34,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.56,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.73,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.86,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.63,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.65,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.35,0.0,3.3168316831683167,2.0,100,24,23,36,9,8,1,pips,PIPs,L3,2.58,36844.0
0.37,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.45,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.61,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.48,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.37,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.5,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.73,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.38,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.6,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.47,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.55,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.48,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.31,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.6,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.37,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.19,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.52,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.9,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.34,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.36,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.4,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.52,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.4,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.68,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.55,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.27,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.33,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.29,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.57,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.97,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.65,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.41,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.43,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.34,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.35,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.57,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.7,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.54,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.23,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.52,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.31,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.35,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.47,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.32,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.43,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.37,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.52,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.65,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.23,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.67,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.42,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
0.51,0.0,0.4851485148514851,0.0,100,67,25,9,0,0,0,preppi,PrePPI,L3,0.43,9973.0
