	GeneA	GeneB
662	23521	140801
663	6141	140801
664	6144	140801
665	6146	140801
666	6152	140801
667	6147	140801
668	6154	140801
669	6155	140801
670	6156	140801
671	6161	140801
672	6165	140801
673	11224	140801
674	6167	140801
675	6169	140801
676	7311	140801
677	6168	140801
678	6158	140801
679	3921	140801
680	6122	140801
681	6189	140801
682	6188	140801
683	6193	140801
684	6202	140801
685	6204	140801
686	6217	140801
687	6223	140801
688	6227	140801
689	6228	140801
690	6231	140801
691	6234	140801
692	6235	140801
693	6125	140801
694	6187	140801
695	6203	140801
696	6207	140801
697	6232	140801
698	6129	140801
699	6135	9045
700	6135	6139
701	6135	6143
702	6135	6142
703	6135	9349
704	6135	6157
705	6135	6159
706	6135	6160
707	6135	6164
708	6135	25873
709	6135	6170
710	6135	6171
711	6135	6173
712	4736	6135
713	6135	6191
714	6135	6201
715	6135	6205
716	6135	6209
717	6135	6218
718	6135	6222
719	6135	6224
720	6135	6233
721	6135	10399
722	6135	6194
723	6135	6208
724	6135	6210
725	6135	6229
726	6135	6230
727	2197	6135
728	6135	6137
729	6135	6138
730	6135	23521
731	6135	6141
732	6135	6144
733	6135	6146
734	6135	6152
735	6135	6147
736	6135	6154
737	6135	6155
738	6135	6156
739	6135	6161
740	6135	6165
741	6135	11224
742	6135	6167
743	6135	6169
744	6135	7311
745	6135	6168
746	6135	6158
747	3921	6135
748	6122	6135
749	6135	6189
750	6135	6188
751	6135	6193
752	6135	6202
753	6135	6204
754	6135	6217
755	6135	6223
756	6135	6227
757	6135	6228
758	6135	6231
759	6135	6234
760	6135	6235
761	6125	6135
762	6135	6187
763	6135	6203
764	6135	6207
765	6135	6232
766	6129	6135
767	6139	9045
768	6143	9045
769	6142	9045
770	9045	9349
771	6157	9045
772	6159	9045
773	6160	9045
774	6164	9045
775	9045	25873
776	6170	9045
777	6171	9045
778	6173	9045
779	4736	9045
780	6191	9045
781	6201	9045
782	6205	9045
783	6209	9045
784	6218	9045
785	6222	9045
786	6224	9045
787	6233	9045
788	9045	10399
789	6194	9045
790	6208	9045
791	6210	9045
792	6229	9045
793	6230	9045
794	2197	9045
795	6137	9045
796	6138	9045
797	9045	23521
798	6141	9045
799	6144	9045
800	6146	9045
801	6152	9045
802	6147	9045
803	6154	9045
804	6155	9045
805	6156	9045
806	6161	9045
807	6165	9045
808	9045	11224
809	6167	9045
810	6169	9045
811	7311	9045
812	6168	9045
813	6158	9045
814	3921	9045
815	6122	9045
816	6189	9045
817	6188	9045
818	6193	9045
819	6202	9045
820	6204	9045
821	6217	9045
822	6223	9045
823	6227	9045
824	6228	9045
825	6231	9045
826	6234	9045
827	6235	9045
828	6125	9045
829	6187	9045
830	6203	9045
831	6207	9045
832	6232	9045
833	6129	9045
834	6139	6143
835	6139	6142
836	6139	9349
837	6139	6157
838	6139	6159
839	6139	6160
840	6139	6164
841	6139	25873
842	6139	6170
843	6139	6171
844	6139	6173
845	4736	6139
846	6139	6191
847	6139	6201
848	6139	6205
849	6139	6209
850	6139	6218
851	6139	6222
852	6139	6224
853	6139	6233
854	6139	10399
855	6139	6194
856	6139	6208
857	6139	6210
858	6139	6229
859	6139	6230
860	2197	6139
861	6137	6139
862	6138	6139
863	6139	23521
864	6139	6141
865	6139	6144
866	6139	6146
867	6139	6152
868	6139	6147
869	6139	6154
870	6139	6155
871	6139	6156
872	6139	6161
873	6139	6165
874	6139	11224
875	6139	6167
876	6139	6169
877	6139	7311
878	6139	6168
879	6139	6158
880	3921	6139
881	6122	6139
882	6139	6189
883	6139	6188
884	6139	6193
885	6139	6202
886	6139	6204
887	6139	6217
888	6139	6223
889	6139	6227
890	6139	6228
891	6139	6231
892	6139	6234
893	6139	6235
894	6125	6139
895	6139	6187
896	6139	6203
897	6139	6207
898	6139	6232
899	6129	6139
900	6142	6143
901	6143	9349
902	6143	6157
903	6143	6159
904	6143	6160
905	6143	6164
906	6143	25873
907	6143	6170
908	6143	6171
909	6143	6173
910	4736	6143
911	6143	6191
912	6143	6201
913	6143	6205
914	6143	6209
915	6143	6218
916	6143	6222
917	6143	6224
918	6143	6233
919	6143	10399
920	6143	6194
921	6143	6208
922	6143	6210
923	6143	6229
924	6143	6230
925	2197	6143
