	M	N	n	x	P-value	stat	Network	direction	Name
Brain - Cerebellar Hemisphere	19056	943	17052	811	0.0005858643466208	0.7081740376488237	inbio	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	17052	767	9.226230996247111e-05	0.6734015051550741	inbio	-1	Brain - Cerebellum
Brain - Cortex	19056	447	17052	397	0.639487189500489	0.9315376763734614	inbio	-1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	17052	529	0.6345418345985288	0.9401055278317276	inbio	-1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	17052	42	0.0229965347468668	0.4473625140291807	inbio	-1	Brain - Hippocampus
Brain - Hypothalamus	19056	183	17052	154	0.0281454097013943	0.6206610861926121	inbio	-1	Brain - Hypothalamus
Brain - Nucleus accumbens (basal ganglia)	19056	274	17052	229	0.0027181178606152	0.5925895103925182	inbio	-1	Brain - Nucleus accumbens (basal ganglia)
Brain - Putamen (basal ganglia)	19056	99	17052	79	0.0043718641225059	0.4617215577682201	inbio	-1	Brain - Putamen (basal ganglia)
Brain - Spinal cord (cervical c-1)	19056	287	17052	251	0.2455499018799249	0.8166974188044362	inbio	-1	Brain - Spinal cord (cervical c-1)
Brain - Substantia nigra	19056	72	17052	61	0.178696392476519	0.6504673597252021	inbio	-1	Brain - Substantia nigra
Breast - Mammary Tissue	19056	70	17052	58	0.0778061640927837	0.5665529010238908	inbio	-1	Breast - Mammary Tissue
Cells - Cultured fibroblasts	19056	413	17052	398	3.549065543806304e-07	3.1688963612345384	inbio	1	Cells - Cultured fibroblasts
Cells - EBV-transformed lymphocytes	19056	872	17052	832	1.7114406013964086e-10	2.518569667077682	inbio	1	Cells - EBV-transformed lymphocytes
Cervix - Ectocervix	19056	100	17052	91	0.7443794791325524	1.189297014720044	inbio	1	Cervix - Ectocervix
Cervix - Endocervix	19056	105	17052	95	0.8735056366752247	1.1171197735448488	inbio	1	Cervix - Endocervix
Colon - Sigmoid	19056	133	17052	122	0.478508935758493	1.3056220802233798	inbio	1	Colon - Sigmoid
Colon - Transverse	19056	239	17052	200	0.0054973340090796	0.5979660026657415	inbio	-1	Colon - Transverse
Esophagus - Gastroesophageal Junction	19056	53	17052	50	0.3667518021901133	1.9615339371838607	inbio	1	Esophagus - Gastroesophageal Junction
Esophagus - Mucosa	19056	461	17052	404	0.1912425123155099	0.8289157540656061	inbio	-1	Esophagus - Mucosa
Esophagus - Muscularis	19056	95	17052	91	0.0431676316072424	2.682624845233182	inbio	1	Esophagus - Muscularis
Fallopian Tube	19056	108	17052	81	2.0054324693684003e-05	0.3494785221849036	inbio	-1	Fallopian Tube
Heart - Atrial Appendage	19056	147	17052	131	0.8923361730903181	0.9619260091011168	inbio	-1	Heart - Atrial Appendage
Heart - Left Ventricle	19056	121	17052	111	0.5506891015310601	1.3064990260315212	inbio	1	Heart - Left Ventricle
Kidney - Cortex	19056	228	17052	199	0.2767788020537994	0.8041646120510623	inbio	-1	Kidney - Cortex
Kidney - Medulla	19056	250	17052	212	0.021707602763423	0.651318914864358	inbio	-1	Kidney - Medulla
Liver	19056	496	17052	452	0.2653895339583885	1.2129244249726177	inbio	1	Liver
Lung	19056	303	17052	279	0.1562430523372181	1.3722947594348058	inbio	1	Lung
Minor Salivary Gland	19056	233	17052	201	0.1073421395636794	0.7350676517714082	inbio	-1	Minor Salivary Gland
Muscle - Skeletal	19056	335	17052	303	0.6529011515936928	1.1148352140426294	inbio	1	Muscle - Skeletal
Nerve - Tibial	19056	284	17052	251	0.5580769090183771	0.8923007829620532	inbio	-1	Nerve - Tibial
Ovary	19056	190	17052	172	0.7219488854177636	1.1242496050552924	inbio	1	Ovary
Pancreas	19056	156	17052	126	0.0009529942933096	0.4898263027295285	inbio	-1	Pancreas
Pituitary	19056	384	17052	312	1.2291648868597492e-06	0.5001194743130227	inbio	-1	Pituitary
Prostate	19056	127	17052	101	0.000744811838875	0.4532929756810354	inbio	-1	Prostate
Skin - Not Sun Exposed (Suprapubic)	19056	525	17052	459	0.1292649002759993	0.8122647556746273	inbio	-1	Skin - Not Sun Exposed (Suprapubic)
Skin - Sun Exposed (Lower leg)	19056	539	17052	469	0.0637099369218891	0.7813905807151903	inbio	-1	Skin - Sun Exposed (Lower leg)
Small Intestine - Terminal Ileum	19056	334	17052	267	1.891071230653203e-07	0.4598802235471436	inbio	-1	Small Intestine - Terminal Ileum
Spleen	19056	661	17052	600	0.3016529653454177	1.1616505841135465	inbio	1	Spleen
Stomach	19056	147	17052	126	0.13721066000762	0.7029422190712513	inbio	-1	Stomach
Testis	19056	2478	17052	1829	7.15973114090311e-129	0.2508465061838247	inbio	-1	Testis
Thyroid	19056	289	17052	251	0.1467223613936568	0.7729270500816054	inbio	-1	Thyroid
Uterus	19056	104	17052	91	0.519548632344361	0.8217086256706562	inbio	-1	Uterus
Vagina	19056	269	17052	233	0.1323465755755037	0.757318112452187	inbio	-1	Vagina
Whole Blood	19056	565	17052	522	0.0214068639993766	1.4401468788249694	inbio	1	Whole Blood
Adipose - Subcutaneous	19056	141	15136	111	0.8344190717632316	0.957936772046589	innatedb_all	-1	Adipose - Subcutaneous
Adipose - Visceral (Omentum)	19056	123	15136	93	0.3132519016575265	0.8016353121052981	innatedb_all	-1	Adipose - Visceral (Omentum)
Adrenal Gland	19056	166	15136	139	0.1780180949854463	1.3363833260479256	innatedb_all	1	Adrenal Gland
Artery - Aorta	19056	261	15136	204	0.5900794508504227	0.92589563917831	innatedb_all	-1	Artery - Aorta
Artery - Coronary	19056	124	15136	99	1.0	1.025749817117776	innatedb_all	1	Artery - Coronary
Artery - Tibial	19056	222	15136	189	0.0364418469220815	1.4893897832949148	innatedb_all	1	Artery - Tibial
Bladder	19056	46	15136	42	0.0447098246586849	2.72412879289784	innatedb_all	1	Bladder
Brain - Amygdala	19056	66	15136	39	0.0001718705615508	0.3724728238870121	innatedb_all	-1	Brain - Amygdala
Brain - Anterior cingulate cortex (BA24)	19056	231	15136	177	0.28740853031426	0.8471080211838284	innatedb_all	-1	Brain - Anterior cingulate cortex (BA24)
Brain - Caudate (basal ganglia)	19056	184	15136	126	0.0004536366671812	0.5589515035953043	innatedb_all	-1	Brain - Caudate (basal ganglia)
Brain - Cerebellar Hemisphere	19056	943	15136	680	3.5544098020669624e-08	0.6540786674550386	innatedb_all	-1	Brain - Cerebellar Hemisphere
Brain - Cerebellum	19056	898	15136	639	1.6281209531729555e-09	0.6230496896841657	innatedb_all	-1	Brain - Cerebellum
Brain - Cortex	19056	447	15136	333	0.010803829578269	0.7510319743153059	innatedb_all	-1	Brain - Cortex
Brain - Frontal Cortex (BA9)	19056	595	15136	453	0.0445913507491254	0.8208371662927233	innatedb_all	-1	Brain - Frontal Cortex (BA9)
Brain - Hippocampus	19056	53	15136	30	0.0002145968475295	0.3364916906037912	innatedb_all	-1	Brain - Hippocampus
