Interactome	Fold	Prediction Method	Test Set	P@k
SignaLink	2	L3	CORUM	0.0033
SignaLink	3	L3	CORUM	0.0027
SignaLink	4	L3	CORUM	0.0027
SignaLink	5	L3	CORUM	0.0037
SignaLink	6	L3	CORUM	0.0027
SignaLink	7	L3	CORUM	0.0034
SignaLink	8	L3	CORUM	0.0030
SignaLink	9	L3	CORUM	0.0034
SignaLink	10	L3	CORUM	0.0027
SIGNOR	1	L3	CORUM	0.0135
SIGNOR	2	L3	CORUM	0.0137
SIGNOR	3	L3	CORUM	0.0134
SIGNOR	4	L3	CORUM	0.0116
SIGNOR	5	L3	CORUM	0.0116
SIGNOR	6	L3	CORUM	0.0106
SIGNOR	7	L3	CORUM	0.0115
SIGNOR	8	L3	CORUM	0.0121
SIGNOR	9	L3	CORUM	0.0116
SIGNOR	10	L3	CORUM	0.0109
SPIKE	1	L3	CORUM	0.0140
SPIKE	2	L3	CORUM	0.0138
SPIKE	3	L3	CORUM	0.0151
SPIKE	4	L3	CORUM	0.0144
SPIKE	5	L3	CORUM	0.0145
SPIKE	6	L3	CORUM	0.0143
SPIKE	7	L3	CORUM	0.0143
SPIKE	8	L3	CORUM	0.0143
SPIKE	9	L3	CORUM	0.0138
SPIKE	10	L3	CORUM	0.0150
Wan	1	L3	CORUM	0.0783
Wan	2	L3	CORUM	0.0910
Wan	3	L3	CORUM	0.0869
Wan	4	L3	CORUM	0.0903
Wan	5	L3	CORUM	0.0930
Wan	6	L3	CORUM	0.0869
Wan	7	L3	CORUM	0.0874
Wan	8	L3	CORUM	0.0885
Wan	9	L3	CORUM	0.0880
Wan	10	L3	CORUM	0.0895
Youn	1	L3	CORUM	0.0043
Youn	2	L3	CORUM	0.0041
Youn	3	L3	CORUM	0.0044
Youn	4	L3	CORUM	0.0040
Youn	5	L3	CORUM	0.0040
Youn	6	L3	CORUM	0.0042
Youn	7	L3	CORUM	0.0045
Youn	8	L3	CORUM	0.0043
Youn	9	L3	CORUM	0.0044
Youn	10	L3	CORUM	0.0045
APID	1	L3	Held-out	0.0522
APID	2	L3	Held-out	0.0517
APID	3	L3	Held-out	0.0540
APID	4	L3	Held-out	0.0550
APID	5	L3	Held-out	0.0558
APID	6	L3	Held-out	0.0536
APID	7	L3	Held-out	0.0546
APID	8	L3	Held-out	0.0543
APID	9	L3	Held-out	0.0537
APID	10	L3	Held-out	0.0562
BIND	1	L3	Held-out	0.1218
BIND	2	L3	Held-out	0.1386
BIND	3	L3	Held-out	0.1428
BIND	4	L3	Held-out	0.1393
BIND	5	L3	Held-out	0.1605
BIND	6	L3	Held-out	0.1383
BIND	7	L3	Held-out	0.1455
BIND	8	L3	Held-out	0.1218
BIND	9	L3	Held-out	0.1201
BIND	10	L3	Held-out	0.1354
BioGRID	1	L3	Held-out	0.1003
BioGRID	2	L3	Held-out	0.1006
BioGRID	3	L3	Held-out	0.1004
BioGRID	4	L3	Held-out	0.1007
BioGRID	5	L3	Held-out	0.0986
BioGRID	6	L3	Held-out	0.0993
BioGRID	7	L3	Held-out	0.0984
BioGRID	8	L3	Held-out	0.1004
BioGRID	9	L3	Held-out	0.1009
BioGRID	10	L3	Held-out	0.0991
BioPlex 293T	1	L3	Held-out	0.0785
BioPlex 293T	2	L3	Held-out	0.0823
BioPlex 293T	3	L3	Held-out	0.0787
BioPlex 293T	4	L3	Held-out	0.0766
BioPlex 293T	5	L3	Held-out	0.0800
BioPlex 293T	6	L3	Held-out	0.0781
BioPlex 293T	7	L3	Held-out	0.0806
BioPlex 293T	8	L3	Held-out	0.0804
BioPlex 293T	9	L3	Held-out	0.0807
BioPlex 293T	10	L3	Held-out	0.0813
BioPlex HCT116	1	L3	Held-out	0.1111
BioPlex HCT116	2	L3	Held-out	0.1069
BioPlex HCT116	3	L3	Held-out	0.1117
BioPlex HCT116	4	L3	Held-out	0.1053
BioPlex HCT116	5	L3	Held-out	0.1091
BioPlex HCT116	6	L3	Held-out	0.1052
BioPlex HCT116	7	L3	Held-out	0.1120
BioPlex HCT116	8	L3	Held-out	0.1118
BioPlex HCT116	9	L3	Held-out	0.1069
BioPlex HCT116	10	L3	Held-out	0.0969
ComPPI	1	L3	Held-out	0.0742
ComPPI	2	L3	Held-out	0.0729
ComPPI	3	L3	Held-out	0.0729
ComPPI	4	L3	Held-out	0.0731
ComPPI	5	L3	Held-out	0.0713
ComPPI	6	L3	Held-out	0.0729
ComPPI	7	L3	Held-out	0.0744
ComPPI	8	L3	Held-out	0.0755
ComPPI	9	L3	Held-out	0.0738
ComPPI	10	L3	Held-out	0.0738
DIP	1	L3	Held-out	0.4321
DIP	2	L3	Held-out	0.4146
DIP	3	L3	Held-out	0.3963
DIP	4	L3	Held-out	0.4199
DIP	5	L3	Held-out	0.4149
DIP	6	L3	Held-out	0.4075
DIP	7	L3	Held-out	0.4224
DIP	8	L3	Held-out	0.4190
DIP	9	L3	Held-out	0.4353
DIP	10	L3	Held-out	0.4055
GeneMANIA	1	L3	Held-out	0.0812
GeneMANIA	2	L3	Held-out	0.0810
GeneMANIA	3	L3	Held-out	0.0816
GeneMANIA	4	L3	Held-out	0.0807
GeneMANIA	5	L3	Held-out	0.0801
GeneMANIA	6	L3	Held-out	0.0810
GeneMANIA	7	L3	Held-out	0.0802
GeneMANIA	8	L3	Held-out	0.0811
GeneMANIA	9	L3	Held-out	0.0804
GeneMANIA	10	L3	Held-out	0.0798
Havugimana	1	L3	Held-out	0.1741
Havugimana	2	L3	Held-out	0.1852
Havugimana	3	L3	Held-out	0.1747
Havugimana	4	L3	Held-out	0.1553
Havugimana	5	L3	Held-out	0.1741
Havugimana	6	L3	Held-out	0.1611
Havugimana	7	L3	Held-out	0.1660
Havugimana	8	L3	Held-out	0.1631
Havugimana	9	L3	Held-out	0.1654
Havugimana	10	L3	Held-out	0.1692
Hein	1	L3	Held-out	0.1087
Hein	2	L3	Held-out	0.1230
Hein	3	L3	Held-out	0.1016
Hein	4	L3	Held-out	0.1085
Hein	5	L3	Held-out	0.1074
Hein	6	L3	Held-out	0.1141
Hein	7	L3	Held-out	0.1087
Hein	8	L3	Held-out	0.1242
Hein	9	L3	Held-out	0.1061
Hein	10	L3	Held-out	0.1160
HuRI	1	L3	Held-out	0.0736
HuRI	2	L3	Held-out	0.0775
HuRI	3	L3	Held-out	0.0718
HuRI	4	L3	Held-out	0.0749
HuRI	5	L3	Held-out	0.0734
HuRI	6	L3	Held-out	0.0716
HuRI	7	L3	Held-out	0.0663
HuRI	8	L3	Held-out	0.0664
HuRI	9	L3	Held-out	0.0741
HuRI	10	L3	Held-out	0.0695
HINT	1	L3	Held-out	0.0775
HINT	2	L3	Held-out	0.0773
HINT	3	L3	Held-out	0.0777
HINT	4	L3	Held-out	0.0747
HINT	5	L3	Held-out	0.0762
HINT	6	L3	Held-out	0.0799
HINT	7	L3	Held-out	0.0796
HINT	8	L3	Held-out	0.0776
HINT	9	L3	Held-out	0.0787
HINT	10	L3	Held-out	0.0783
HIPPIE	1	L3	Held-out	0.1057
HIPPIE	2	L3	Held-out	0.1048
HIPPIE	3	L3	Held-out	0.1037
HIPPIE	4	L3	Held-out	0.1050
HIPPIE	5	L3	Held-out	0.1059
HIPPIE	6	L3	Held-out	0.1058
HIPPIE	7	L3	Held-out	0.1049
HIPPIE	8	L3	Held-out	0.1037
HIPPIE	9	L3	Held-out	0.1059
HIPPIE	10	L3	Held-out	0.1060
HPRD	1	L3	Held-out	0.0580
HPRD	2	L3	Held-out	0.0513
HPRD	3	L3	Held-out	0.0501
HPRD	4	L3	Held-out	0.0507
HPRD	5	L3	Held-out	0.0497
HPRD	6	L3	Held-out	0.0495
HPRD	7	L3	Held-out	0.0544
HPRD	8	L3	Held-out	0.0552
HPRD	9	L3	Held-out	0.0593
HPRD	10	L3	Held-out	0.0555
HumanNet-XC	1	L3	Held-out	0.2154
HumanNet-XC	2	L3	Held-out	0.2170
HumanNet-XC	3	L3	Held-out	0.2153
HumanNet-XC	4	L3	Held-out	0.2169
HumanNet-XC	5	L3	Held-out	0.2158
HumanNet-XC	6	L3	Held-out	0.2185
HumanNet-XC	7	L3	Held-out	0.2181
HumanNet-XC	8	L3	Held-out	0.2161
HumanNet-XC	9	L3	Held-out	0.2165
HumanNet-XC	10	L3	Held-out	0.2162
HumanNet-FN	1	L3	Held-out	0.1728
HumanNet-FN	2	L3	Held-out	0.1700
HumanNet-FN	3	L3	Held-out	0.1719
HumanNet-FN	4	L3	Held-out	0.1734
HumanNet-FN	5	L3	Held-out	0.1703
HumanNet-FN	6	L3	Held-out	0.1713
HumanNet-FN	7	L3	Held-out	0.1705
HumanNet-FN	8	L3	Held-out	0.1712
HumanNet-FN	9	L3	Held-out	0.1713
HumanNet-FN	10	L3	Held-out	0.1716
huMAP	1	L3	Held-out	0.2086
huMAP	2	L3	Held-out	0.2093
huMAP	3	L3	Held-out	0.2089
huMAP	4	L3	Held-out	0.2105
huMAP	5	L3	Held-out	0.2095
huMAP	6	L3	Held-out	0.2089
huMAP	7	L3	Held-out	0.2095
huMAP	8	L3	Held-out	0.1413
huMAP	9	L3	Held-out	0.2098
huMAP	10	L3	Held-out	0.1413
IID	1	L3	Held-out	0.1330
IID	2	L3	Held-out	0.1344
IID	3	L3	Held-out	0.1333
IID	4	L3	Held-out	0.1330
IID	5	L3	Held-out	0.1324
IID	6	L3	Held-out	0.1311
IID	7	L3	Held-out	0.1322
IID	8	L3	Held-out	0.1324
IID	9	L3	Held-out	0.1322
IID	10	L3	Held-out	0.1328
InBio	1	L3	Held-out	0.2368
InBio	2	L3	Held-out	0.2387
InBio	3	L3	Held-out	0.2391
InBio	4	L3	Held-out	0.2374
InBio	5	L3	Held-out	0.2379
InBio	6	L3	Held-out	0.2356
InBio	7	L3	Held-out	0.2345
InBio	8	L3	Held-out	0.2362
InBio	9	L3	Held-out	0.2374
InBio	10	L3	Held-out	0.2375
InnateDB All	1	L3	Held-out	0.1040
InnateDB All	2	L3	Held-out	0.1070
InnateDB All	3	L3	Held-out	0.1083
InnateDB All	4	L3	Held-out	0.1019
InnateDB All	5	L3	Held-out	0.1045
InnateDB All	6	L3	Held-out	0.1052
InnateDB All	7	L3	Held-out	0.1041
InnateDB All	8	L3	Held-out	0.1049
InnateDB All	9	L3	Held-out	0.1068
InnateDB All	10	L3	Held-out	0.1070
IntAct	1	L3	Held-out	0.0646
IntAct	2	L3	Held-out	0.0651
IntAct	3	L3	Held-out	0.0657
IntAct	4	L3	Held-out	0.0667
IntAct	5	L3	Held-out	0.0634
IntAct	6	L3	Held-out	0.0645
IntAct	8	L3	Held-out	0.0616
IntAct	9	L3	Held-out	0.0675
IntAct	10	L3	Held-out	0.0619
iRefIndex	1	L3	Held-out	0.1452
iRefIndex	2	L3	Held-out	0.1467
iRefIndex	3	L3	Held-out	0.1457
iRefIndex	4	L3	Held-out	0.1467
iRefIndex	5	L3	Held-out	0.1479
iRefIndex	6	L3	Held-out	0.1469
iRefIndex	7	L3	Held-out	0.1458
iRefIndex	8	L3	Held-out	0.1446
iRefIndex	9	L3	Held-out	0.1458
MatrixDB	1	L3	Held-out	0.0798
MatrixDB	2	L3	Held-out	0.0769
MatrixDB	3	L3	Held-out	0.0752
MatrixDB	4	L3	Held-out	0.0747
MatrixDB	5	L3	Held-out	0.0774
MatrixDB	6	L3	Held-out	0.0748
MatrixDB	7	L3	Held-out	0.0753
MatrixDB	8	L3	Held-out	0.0716
MatrixDB	9	L3	Held-out	0.0804
MatrixDB	10	L3	Held-out	0.0819
Mentha	1	L3	Held-out	0.0685
Mentha	2	L3	Held-out	0.0692
Mentha	3	L3	Held-out	0.0686
Mentha	4	L3	Held-out	0.0649
Mentha	5	L3	Held-out	0.0723
Mentha	6	L3	Held-out	0.0690
Mentha	7	L3	Held-out	0.0688
Mentha	8	L3	Held-out	0.0697
Mentha	9	L3	Held-out	0.0671
Mentha	10	L3	Held-out	0.0681
MINT	1	L3	Held-out	0.0780
MINT	2	L3	Held-out	0.0832
MINT	3	L3	Held-out	0.0808
MINT	4	L3	Held-out	0.0913
MINT	5	L3	Held-out	0.0799
MINT	6	L3	Held-out	0.0839
MINT	7	L3	Held-out	0.0775
MINT	8	L3	Held-out	0.0864
MINT	9	L3	Held-out	0.0878
MINT	10	L3	Held-out	0.0839
MultiNet	1	L3	Held-out	0.1184
MultiNet	2	L3	Held-out	0.1173
MultiNet	3	L3	Held-out	0.1170
MultiNet	4	L3	Held-out	0.1167
MultiNet	5	L3	Held-out	0.1139
MultiNet	6	L3	Held-out	0.1170
MultiNet	7	L3	Held-out	0.1122
MultiNet	8	L3	Held-out	0.1206
MultiNet	9	L3	Held-out	0.1112
MultiNet	10	L3	Held-out	0.1129
PathwayCommons	1	L3	Held-out	0.1407
PathwayCommons	2	L3	Held-out	0.1396
PathwayCommons	3	L3	Held-out	0.1369
PathwayCommons	4	L3	Held-out	0.1415
PathwayCommons	5	L3	Held-out	0.1409
PathwayCommons	6	L3	Held-out	0.1371
PathwayCommons	7	L3	Held-out	0.1408
PathwayCommons	8	L3	Held-out	0.1434
PathwayCommons	9	L3	Held-out	0.1401
PathwayCommons	10	L3	Held-out	0.1376
Phosphosite	1	L3	Held-out	0.0655
Phosphosite	2	L3	Held-out	0.0713
Phosphosite	3	L3	Held-out	0.0634
Phosphosite	4	L3	Held-out	0.0536
Phosphosite	5	L3	Held-out	0.0702
Phosphosite	6	L3	Held-out	0.0724
Phosphosite	7	L3	Held-out	0.0667
Phosphosite	8	L3	Held-out	0.0556
Phosphosite	9	L3	Held-out	0.0643
Phosphosite	10	L3	Held-out	0.0568
PID2	1	L3	Held-out	0.1247
PID2	2	L3	Held-out	0.1157
PID2	3	L3	Held-out	0.1156
PID2	4	L3	Held-out	0.1249
PID2	5	L3	Held-out	0.1208
PID2	6	L3	Held-out	0.1114
PID2	7	L3	Held-out	0.1226
PID2	8	L3	Held-out	0.1243
PID2	9	L3	Held-out	0.1359
PID2	10	L3	Held-out	0.1102
PIPs	1	L3	Held-out	0.1185
PIPs	2	L3	Held-out	0.1326
PIPs	3	L3	Held-out	0.1176
PIPs	4	L3	Held-out	0.1180
PIPs	5	L3	Held-out	0.1252
PIPs	6	L3	Held-out	0.1244
PIPs	7	L3	Held-out	0.1162
PIPs	8	L3	Held-out	0.1258
PIPs	9	L3	Held-out	0.1276
PIPs	10	L3	Held-out	0.1308
PrePPI	1	L3	Held-out	0.0000
PrePPI	2	L3	Held-out	0.0000
PrePPI	3	L3	Held-out	0.0000
PrePPI	4	L3	Held-out	0.0000
PrePPI	5	L3	Held-out	0.0000
PrePPI	6	L3	Held-out	0.0000
PrePPI	7	L3	Held-out	0.0000
PrePPI	8	L3	Held-out	0.0000
PrePPI	9	L3	Held-out	0.0000
PrePPI	10	L3	Held-out	0.0000
PROPER	1	L3	Held-out	0.1745
PROPER	2	L3	Held-out	0.1709
PROPER	3	L3	Held-out	0.1639
PROPER	4	L3	Held-out	0.1710
PROPER	5	L3	Held-out	0.1689
PROPER	6	L3	Held-out	0.1709
PROPER	7	L3	Held-out	0.1667
PROPER	8	L3	Held-out	0.1714
PROPER	9	L3	Held-out	0.1702
PROPER	10	L3	Held-out	0.1719
ProteomeHD	1	L3	Held-out	0.2081
ProteomeHD	2	L3	Held-out	0.2196
ProteomeHD	3	L3	Held-out	0.2052
ProteomeHD	4	L3	Held-out	0.2186
ProteomeHD	5	L3	Held-out	0.2351
ProteomeHD	6	L3	Held-out	0.2411
ProteomeHD	7	L3	Held-out	0.2119
ProteomeHD	8	L3	Held-out	0.2107
ProteomeHD	9	L3	Held-out	0.2329
ProteomeHD	10	L3	Held-out	0.2300
PTMCode2	1	L3	Held-out	0.1017
PTMCode2	2	L3	Held-out	0.1100
PTMCode2	3	L3	Held-out	0.1026
PTMCode2	4	L3	Held-out	0.0915
PTMCode2	5	L3	Held-out	0.1169
PTMCode2	6	L3	Held-out	0.0966
PTMCode2	7	L3	Held-out	0.0985
PTMCode2	8	L3	Held-out	0.1098
PTMCode2	9	L3	Held-out	0.1015
PTMCode2	10	L3	Held-out	0.1018
Reactome	1	L3	Held-out	0.1317
Reactome	2	L3	Held-out	0.1400
Reactome	3	L3	Held-out	0.1383
Reactome	4	L3	Held-out	0.1441
Reactome	5	L3	Held-out	0.1475
Reactome	6	L3	Held-out	0.1206
Reactome	7	L3	Held-out	0.1345
Reactome	8	L3	Held-out	0.1452
Reactome	9	L3	Held-out	0.1525
Reactome	10	L3	Held-out	0.1330
ReactomeFI(2022)	1	L3	Held-out	0.2026
ReactomeFI(2022)	2	L3	Held-out	0.2008
ReactomeFI(2022)	3	L3	Held-out	0.1950
ReactomeFI(2022)	4	L3	Held-out	0.1928
ReactomeFI(2022)	5	L3	Held-out	0.1997
ReactomeFI(2022)	6	L3	Held-out	0.1941
ReactomeFI(2022)	7	L3	Held-out	0.1909
ReactomeFI(2022)	8	L3	Held-out	0.1935
ReactomeFI(2022)	9	L3	Held-out	0.1997
ReactomeFI(2022)	10	L3	Held-out	0.1970
SignaLink	1	L3	Held-out	0.1204
SignaLink	2	L3	Held-out	0.1213
SignaLink	3	L3	Held-out	0.1215
SignaLink	4	L3	Held-out	0.1181
SignaLink	5	L3	Held-out	0.1198
SignaLink	6	L3	Held-out	0.1220
SignaLink	7	L3	Held-out	0.1194
SignaLink	8	L3	Held-out	0.1211
SignaLink	9	L3	Held-out	0.1212
SignaLink	10	L3	Held-out	0.1217
SIGNOR	1	L3	Held-out	0.0890
SIGNOR	2	L3	Held-out	0.0693
SIGNOR	3	L3	Held-out	0.0898
SIGNOR	4	L3	Held-out	0.0983
SIGNOR	5	L3	Held-out	0.1000
SIGNOR	6	L3	Held-out	0.0863
SIGNOR	7	L3	Held-out	0.0832
SIGNOR	8	L3	Held-out	0.0708
SIGNOR	9	L3	Held-out	0.0836
SIGNOR	10	L3	Held-out	0.0861
SPIKE	1	L3	Held-out	0.1012
SPIKE	2	L3	Held-out	0.1033
SPIKE	3	L3	Held-out	0.1090
SPIKE	4	L3	Held-out	0.0989
SPIKE	5	L3	Held-out	0.1013
SPIKE	6	L3	Held-out	0.1073
SPIKE	7	L3	Held-out	0.1003
SPIKE	8	L3	Held-out	0.1020
SPIKE	9	L3	Held-out	0.1008
SPIKE	10	L3	Held-out	0.1045
Wan	1	L3	Held-out	0.1627
Wan	2	L3	Held-out	0.1812
Wan	3	L3	Held-out	0.1845
Wan	4	L3	Held-out	0.1713
Wan	5	L3	Held-out	0.1700
Wan	6	L3	Held-out	0.1737
Wan	7	L3	Held-out	0.1751
Wan	8	L3	Held-out	0.1581
Wan	9	L3	Held-out	0.1741
Wan	10	L3	Held-out	0.1973
Youn	1	L3	Held-out	0.2145
Youn	2	L3	Held-out	0.2124
Youn	3	L3	Held-out	0.2159
Youn	4	L3	Held-out	0.2154
Youn	5	L3	Held-out	0.2102
Youn	6	L3	Held-out	0.2172
Youn	7	L3	Held-out	0.2167
Youn	8	L3	Held-out	0.2136
Youn	9	L3	Held-out	0.2117
Youn	10	L3	Held-out	0.2126
APID	1	L3	PANTHER	0.0039
APID	2	L3	PANTHER	0.0036
APID	3	L3	PANTHER	0.0041
APID	4	L3	PANTHER	0.0036
APID	5	L3	PANTHER	0.0043
APID	6	L3	PANTHER	0.0037
APID	7	L3	PANTHER	0.0039
APID	8	L3	PANTHER	0.0043
APID	9	L3	PANTHER	0.0041
APID	10	L3	PANTHER	0.0040
BIND	1	L3	PANTHER	0.0034
BIND	2	L3	PANTHER	0.0046
BIND	3	L3	PANTHER	0.0063
BIND	4	L3	PANTHER	0.0041
BIND	5	L3	PANTHER	0.0058
BIND	6	L3	PANTHER	0.0047
BIND	7	L3	PANTHER	0.0015
BIND	8	L3	PANTHER	0.0051
BIND	9	L3	PANTHER	0.0014
BIND	10	L3	PANTHER	0.0038
BioGRID	1	L3	PANTHER	0.0010
BioGRID	2	L3	PANTHER	0.0008
BioGRID	3	L3	PANTHER	0.0009
BioGRID	4	L3	PANTHER	0.0007
BioGRID	5	L3	PANTHER	0.0008
BioGRID	6	L3	PANTHER	0.0008
BioGRID	7	L3	PANTHER	0.0006
BioGRID	8	L3	PANTHER	0.0006
BioGRID	9	L3	PANTHER	0.0009
BioGRID	10	L3	PANTHER	0.0008
BioPlex 293T	1	L3	PANTHER	0.0007
BioPlex 293T	2	L3	PANTHER	0.0003
BioPlex 293T	3	L3	PANTHER	0.0003
BioPlex 293T	4	L3	PANTHER	0.0003
BioPlex 293T	5	L3	PANTHER	0.0005
BioPlex 293T	6	L3	PANTHER	0.0003
BioPlex 293T	7	L3	PANTHER	0.0003
BioPlex 293T	8	L3	PANTHER	0.0004
BioPlex 293T	9	L3	PANTHER	0.0005
BioPlex 293T	10	L3	PANTHER	0.0003
BioPlex HCT116	1	L3	PANTHER	0.0001
BioPlex HCT116	2	L3	PANTHER	0.0001
BioPlex HCT116	3	L3	PANTHER	0.0000
BioPlex HCT116	4	L3	PANTHER	0.0001
BioPlex HCT116	5	L3	PANTHER	0.0002
BioPlex HCT116	6	L3	PANTHER	0.0001
BioPlex HCT116	7	L3	PANTHER	0.0004
BioPlex HCT116	8	L3	PANTHER	0.0000
BioPlex HCT116	9	L3	PANTHER	0.0000
BioPlex HCT116	10	L3	PANTHER	0.0002
ComPPI	1	L3	PANTHER	0.0013
ComPPI	2	L3	PANTHER	0.0013
ComPPI	3	L3	PANTHER	0.0010
ComPPI	4	L3	PANTHER	0.0011
ComPPI	5	L3	PANTHER	0.0010
ComPPI	6	L3	PANTHER	0.0010
ComPPI	7	L3	PANTHER	0.0012
ComPPI	8	L3	PANTHER	0.0010
ComPPI	9	L3	PANTHER	0.0011
ComPPI	10	L3	PANTHER	0.0009
DIP	1	L3	PANTHER	0.0055
DIP	2	L3	PANTHER	0.0047
DIP	3	L3	PANTHER	0.0038
DIP	4	L3	PANTHER	0.0044
DIP	5	L3	PANTHER	0.0039
DIP	6	L3	PANTHER	0.0048
DIP	7	L3	PANTHER	0.0052
DIP	8	L3	PANTHER	0.0060
DIP	9	L3	PANTHER	0.0047
DIP	10	L3	PANTHER	0.0058
GeneMANIA	1	L3	PANTHER	0.0028
GeneMANIA	2	L3	PANTHER	0.0028
GeneMANIA	3	L3	PANTHER	0.0025
GeneMANIA	4	L3	PANTHER	0.0023
GeneMANIA	5	L3	PANTHER	0.0026
GeneMANIA	6	L3	PANTHER	0.0032
GeneMANIA	7	L3	PANTHER	0.0024
GeneMANIA	8	L3	PANTHER	0.0028
GeneMANIA	9	L3	PANTHER	0.0029
GeneMANIA	10	L3	PANTHER	0.0025
Havugimana	1	L3	PANTHER	0.0000
Havugimana	2	L3	PANTHER	0.0012
Havugimana	3	L3	PANTHER	0.0000
Havugimana	4	L3	PANTHER	0.0000
Havugimana	5	L3	PANTHER	0.0012
Havugimana	6	L3	PANTHER	0.0012
Havugimana	7	L3	PANTHER	0.0000
Havugimana	8	L3	PANTHER	0.0012
Havugimana	9	L3	PANTHER	0.0000
Havugimana	10	L3	PANTHER	0.0000
Hein	1	L3	PANTHER	0.0013
Hein	2	L3	PANTHER	0.0026
Hein	3	L3	PANTHER	0.0010
Hein	4	L3	PANTHER	0.0023
Hein	5	L3	PANTHER	0.0026
Hein	6	L3	PANTHER	0.0019
Hein	7	L3	PANTHER	0.0020
Hein	8	L3	PANTHER	0.0032
Hein	9	L3	PANTHER	0.0026
Hein	10	L3	PANTHER	0.0016
HuRI	1	L3	PANTHER	0.0000
HuRI	2	L3	PANTHER	0.0000
HuRI	3	L3	PANTHER	0.0000
HuRI	4	L3	PANTHER	0.0003
HuRI	5	L3	PANTHER	0.0000
HuRI	6	L3	PANTHER	0.0000
HuRI	7	L3	PANTHER	0.0000
HuRI	8	L3	PANTHER	0.0000
HuRI	9	L3	PANTHER	0.0000
HuRI	10	L3	PANTHER	0.0000
HINT	1	L3	PANTHER	0.0013
HINT	2	L3	PANTHER	0.0011
HINT	3	L3	PANTHER	0.0016
HINT	4	L3	PANTHER	0.0016
HINT	5	L3	PANTHER	0.0012
HINT	6	L3	PANTHER	0.0011
HINT	7	L3	PANTHER	0.0016
HINT	8	L3	PANTHER	0.0016
HINT	9	L3	PANTHER	0.0012
HINT	10	L3	PANTHER	0.0012
HIPPIE	1	L3	PANTHER	0.0010
HIPPIE	2	L3	PANTHER	0.0011
HIPPIE	3	L3	PANTHER	0.0010
HIPPIE	4	L3	PANTHER	0.0011
HIPPIE	5	L3	PANTHER	0.0011
HIPPIE	6	L3	PANTHER	0.0010
HIPPIE	7	L3	PANTHER	0.0010
HIPPIE	8	L3	PANTHER	0.0010
HIPPIE	9	L3	PANTHER	0.0012
HIPPIE	10	L3	PANTHER	0.0010
HPRD	1	L3	PANTHER	0.0369
HPRD	2	L3	PANTHER	0.0353
HPRD	3	L3	PANTHER	0.0387
HPRD	4	L3	PANTHER	0.0360
HPRD	5	L3	PANTHER	0.0358
HPRD	6	L3	PANTHER	0.0340
HPRD	7	L3	PANTHER	0.0389
HPRD	8	L3	PANTHER	0.0357
HPRD	9	L3	PANTHER	0.0371
HPRD	10	L3	PANTHER	0.0332
HumanNet-XC	1	L3	PANTHER	0.0001
HumanNet-XC	2	L3	PANTHER	0.0001
HumanNet-XC	3	L3	PANTHER	0.0001
HumanNet-XC	4	L3	PANTHER	0.0001
HumanNet-XC	5	L3	PANTHER	0.0001
HumanNet-XC	6	L3	PANTHER	0.0001
HumanNet-XC	7	L3	PANTHER	0.0002
HumanNet-XC	8	L3	PANTHER	0.0001
HumanNet-XC	9	L3	PANTHER	0.0001
HumanNet-XC	10	L3	PANTHER	0.0001
HumanNet-FN	1	L3	PANTHER	0.0073
HumanNet-FN	2	L3	PANTHER	0.0058
HumanNet-FN	3	L3	PANTHER	0.0063
HumanNet-FN	4	L3	PANTHER	0.0068
HumanNet-FN	5	L3	PANTHER	0.0073
HumanNet-FN	6	L3	PANTHER	0.0066
HumanNet-FN	7	L3	PANTHER	0.0071
HumanNet-FN	8	L3	PANTHER	0.0069
HumanNet-FN	9	L3	PANTHER	0.0067
HumanNet-FN	10	L3	PANTHER	0.0063
huMAP	1	L3	PANTHER	0.0003
huMAP	2	L3	PANTHER	0.0002
huMAP	3	L3	PANTHER	0.0005
huMAP	4	L3	PANTHER	0.0003
huMAP	5	L3	PANTHER	0.0002
huMAP	6	L3	PANTHER	0.0003
huMAP	7	L3	PANTHER	0.0003
huMAP	8	L3	PANTHER	0.0003
huMAP	9	L3	PANTHER	0.0004
huMAP	10	L3	PANTHER	0.0003
IID	1	L3	PANTHER	0.0048
IID	2	L3	PANTHER	0.0055
IID	3	L3	PANTHER	0.0047
IID	4	L3	PANTHER	0.0054
IID	5	L3	PANTHER	0.0060
IID	6	L3	PANTHER	0.0051
IID	7	L3	PANTHER	0.0043
IID	8	L3	PANTHER	0.0058
IID	9	L3	PANTHER	0.0055
IID	10	L3	PANTHER	0.0054
InBio	1	L3	PANTHER	0.0030
InBio	2	L3	PANTHER	0.0027
InBio	3	L3	PANTHER	0.0038
InBio	4	L3	PANTHER	0.0030
InBio	5	L3	PANTHER	0.0028
InBio	6	L3	PANTHER	0.0025
InBio	7	L3	PANTHER	0.0036
InBio	8	L3	PANTHER	0.0035
InBio	9	L3	PANTHER	0.0029
InBio	10	L3	PANTHER	0.0028
InnateDB All	1	L3	PANTHER	0.0023
InnateDB All	2	L3	PANTHER	0.0020
InnateDB All	3	L3	PANTHER	0.0021
InnateDB All	4	L3	PANTHER	0.0016
InnateDB All	5	L3	PANTHER	0.0023
InnateDB All	6	L3	PANTHER	0.0019
InnateDB All	7	L3	PANTHER	0.0021
InnateDB All	8	L3	PANTHER	0.0022
InnateDB All	9	L3	PANTHER	0.0020
InnateDB All	10	L3	PANTHER	0.0023
IntAct	1	L3	PANTHER	0.0020
