Interactome	Fold	Prediction Method	Test Set	P@k
HumanNet-FN	9	MPS	Held-out	0.2151
HumanNet-FN	10	MPS	Held-out	0.2174
IID	1	MPS	Held-out	0.1295
IID	2	MPS	Held-out	0.1285
IID	3	MPS	Held-out	0.1308
IID	4	MPS	Held-out	0.1290
IID	5	MPS	Held-out	0.1307
IID	6	MPS	Held-out	0.1275
IID	7	MPS	Held-out	0.1288
IID	8	MPS	Held-out	0.1277
IID	9	MPS	Held-out	0.1294
IID	10	MPS	Held-out	0.1288
InBio	1	MPS	Held-out	0.3706
InBio	2	MPS	Held-out	0.3758
InBio	3	MPS	Held-out	0.3705
InBio	4	MPS	Held-out	0.3705
InBio	5	MPS	Held-out	0.3684
InBio	6	MPS	Held-out	0.3753
InBio	7	MPS	Held-out	0.3666
InBio	8	MPS	Held-out	0.3722
InBio	9	MPS	Held-out	0.3752
InBio	10	MPS	Held-out	0.3748
InnateDB All	1	MPS	Held-out	0.0682
InnateDB All	2	MPS	Held-out	0.0724
InnateDB All	3	MPS	Held-out	0.0729
InnateDB All	4	MPS	Held-out	0.0690
InnateDB All	5	MPS	Held-out	0.0703
InnateDB All	6	MPS	Held-out	0.0710
InnateDB All	7	MPS	Held-out	0.0701
InnateDB All	8	MPS	Held-out	0.0717
InnateDB All	9	MPS	Held-out	0.0729
InnateDB All	10	MPS	Held-out	0.0696
IntAct	1	MPS	Held-out	0.1083
IntAct	2	MPS	Held-out	0.1050
IntAct	3	MPS	Held-out	0.1050
IntAct	4	MPS	Held-out	0.1078
IntAct	5	MPS	Held-out	0.1042
IntAct	6	MPS	Held-out	0.1018
IntAct	7	MPS	Held-out	0.1073
IntAct	8	MPS	Held-out	0.1058
IntAct	9	MPS	Held-out	0.1065
IntAct	10	MPS	Held-out	0.1044
iRefIndex	1	MPS	Held-out	0.1268
iRefIndex	2	MPS	Held-out	0.1275
iRefIndex	3	MPS	Held-out	0.1252
iRefIndex	4	MPS	Held-out	0.1253
iRefIndex	5	MPS	Held-out	0.1264
iRefIndex	6	MPS	Held-out	0.1259
iRefIndex	7	MPS	Held-out	0.1254
iRefIndex	8	MPS	Held-out	0.1234
iRefIndex	9	MPS	Held-out	0.1274
iRefIndex	10	MPS	Held-out	0.1278
MatrixDB	1	MPS	Held-out	0.1213
MatrixDB	2	MPS	Held-out	0.1184
MatrixDB	3	MPS	Held-out	0.1240
MatrixDB	4	MPS	Held-out	0.1210
MatrixDB	5	MPS	Held-out	0.1176
MatrixDB	6	MPS	Held-out	0.1237
MatrixDB	7	MPS	Held-out	0.1240
MatrixDB	8	MPS	Held-out	0.1251
MatrixDB	9	MPS	Held-out	0.1242
MatrixDB	10	MPS	Held-out	0.1176
Mentha	1	MPS	Held-out	0.0918
Mentha	2	MPS	Held-out	0.0906
Mentha	3	MPS	Held-out	0.0915
