	M	N	n	x	P-value	stat	Network
skin 2	11042	281	3995	95	0.4143883196650253	0.8985318444995865	innatedb_curated
small intestine	11042	693	3995	165	6.721189871931766e-13	0.5319027415143603	innatedb_curated
smooth muscle	11042	286	3995	86	0.02917135647618708	0.7531875159887439	innatedb_curated
soft tissue 1	11042	93	3995	31	0.5900655000980248	0.8810544904137235	innatedb_curated
soft tissue 2	11042	112	3995	37	0.553386505624921	0.8690045477513896	innatedb_curated
spleen	11042	400	3995	233	8.004496259187356e-20	2.551579456716551	innatedb_curated
stomach 1	11042	632	3995	196	0.005553178526288111	0.7822894001560043	innatedb_curated
stomach 2	11042	605	3995	174	8.721869385377385e-05	0.6990213443717738	innatedb_curated
testis	11042	867	3995	192	2.5494958040874662e-20	0.4765921640809887	innatedb_curated
thyroid gland	11042	282	3995	91	0.18730786845331285	0.8366985666466398	innatedb_curated
tonsil	11042	435	3995	232	1.295863453350617e-13	2.078584715842223	innatedb_curated
urinary bladder	11042	337	3995	112	0.2740638855361067	0.8745403038887458	innatedb_curated
vagina	11042	234	3995	87	0.7833487923192175	1.0449522695465085	innatedb_curated
adrenal gland	11042	571	10404	535	0.5800440921982005	0.9065142252395267	intact.245
appendix	11042	348	10404	328	1.0	1.0058753473600635	intact.245
bone marrow	11042	646	10404	612	0.6635195499475628	1.1102941176470589	intact.245
breast	11042	77	10404	71	0.45520667393982905	0.7237652827510564	intact.245
bronchus	11042	478	10404	437	0.011726513627740989	0.638421424848341	intact.245
