	M	N	n	x	P-value	stat	Network
caudate	11042	504	10404	467	0.14149859073774446	0.7633686821570489	intact.245
cerebellum	11042	297	10404	274	0.16331698704711853	0.7232499248894803	intact.245
cerebral cortex	11042	497	10404	468	0.92164991888677	0.9891304347826086	intact.245
cervix	11042	160	10404	152	0.8638901922493574	1.167577058134998	intact.245
colon	11042	271	10404	257	0.7917882972827207	1.1288910163454364	intact.245
duodenum	11042	679	10404	621	0.0028139006735145716	0.6347746090156394	intact.245
endometrium 1	11042	195	10404	175	0.012105328042655548	0.5286440512269039	intact.245
endometrium 2	11042	148	10404	132	0.018787521816058302	0.4995619158878505	intact.245
epididymis	11042	470	10404	428	0.0044803798683984925	0.6088135334326192	intact.245
esophagus	11042	294	10404	280	0.5268326647942033	1.2327143421572502	intact.245
fallopian tube	11042	408	10404	376	0.08230435474331685	0.7100618268847227	intact.245
gallbladder	11042	566	10404	533	0.9263235927652715	0.9899368520582177	intact.245
heart muscle	11042	428	10404	393	0.03438664495296265	0.6763388843700501	intact.245
hippocampus	11042	460	10404	429	0.3579046727565788	0.8421149648314334	intact.245
kidney	11042	424	10404	387	0.010735263359125318	0.6275466841504578	intact.245
liver	11042	222	10404	207	0.4694358992585006	0.8431303324507208	intact.245
lung	11042	267	10404	253	0.7915330001439866	1.1108828123900532	intact.245
lymph node	11042	456	10404	434	0.41326896601259633	1.2188565697091274	intact.245
nasopharynx	11042	363	10404	338	0.3589787100832541	0.8233419431750447	intact.245
oral mucosa	11042	238	10404	221	0.3270560864272914	0.7927919080820977	intact.245
ovary	11042	134	10404	128	0.7078557446442753	1.312053976904113	intact.245
pancreas	11042	198	10404	184	0.4396527337027893	0.8024601621470506	intact.245
parathyroid gland	11042	204	10404	192	0.8797338239313339	0.9808068938503721	intact.245
placenta	11042	412	10404	398	0.03129370499818916	1.7728791296650581	intact.245
prostate	11042	246	10404	231	0.7821073046701096	0.9431042956846555	intact.245
rectum	11042	489	10404	455	0.2742863051451988	0.8124375491477122	intact.245
salivary gland	11042	285	10404	266	0.5187047008921337	0.8548037088183074	intact.245
seminal vesicle	11042	267	10404	253	0.7915330001439866	1.1108828123900532	intact.245
skeletal muscle	11042	403	10404	370	0.03870682033188015	0.676034814962461	intact.245
skin 1	11042	120	10404	116	0.3250075881247271	1.787130637636081	intact.245
skin 2	11042	281	10404	263	0.6045820910215985	0.8932934512265939	intact.245
small intestine	11042	693	10404	624	6.832242451680992e-06	0.5261491953409798	intact.245
smooth muscle	11042	286	10404	270	1.0	1.0357460035523978	intact.245
soft tissue 1	11042	93	10404	86	0.49760550994405545	0.7513360839586852	intact.245
soft tissue 2	11042	112	10404	107	0.6859376548668197	1.3155482179275517	intact.245
spleen	11042	400	10404	376	0.8269712142063712	0.9592474404999335	intact.245
stomach 1	11042	632	10404	587	0.13566953708231655	0.7879551345172207	intact.245
stomach 2	11042	605	10404	557	0.024605403942381223	0.695283673538472	intact.245
testis	11042	867	10404	722	6.448018277846099e-34	0.2535426564759347	intact.245
thyroid gland	11042	282	10404	261	0.24234637892377864	0.7560316051886593	intact.245
tonsil	11042	435	10404	411	0.9164687363747359	1.0522115480836585	intact.245
urinary bladder	11042	337	10404	325	0.09518401584150572	1.6821278565995303	intact.245
vagina	11042	234	10404	223	0.5713346932929457	1.2485021117768391	intact.245
adrenal gland	11042	571	10212	531	0.6840840371504353	1.0832816857762628	irefindex.v20
appendix	11042	348	10212	326	0.4688891223885799	1.2111158111562723	irefindex.v20
bone marrow	11042	646	10212	602	0.5383716075116524	1.1190332040488127	irefindex.v20
breast	11042	77	10212	69	0.37987826407843556	0.6989795918367347	irefindex.v20
bronchus	11042	478	10212	449	0.24864596999028593	1.2702744704673168	irefindex.v20
caudate	11042	504	10212	473	0.2609186406084535	1.2517911026170137	irefindex.v20
cerebellum	11042	297	10212	277	0.737306824669469	1.1291897332662304	irefindex.v20
cerebral cortex	11042	497	10212	466	0.29646971630965424	1.2323798680020919	irefindex.v20
cervix	11042	160	10212	155	0.032984302139598506	2.5430048722282987	irefindex.v20
colon	11042	271	10212	258	0.10106314608188337	1.6289238187972366	irefindex.v20
duodenum	11042	679	10212	626	0.7636802583899022	0.9573749453802518	irefindex.v20
endometrium 1	11042	195	10212	179	0.680663366469288	0.9076671982457889	irefindex.v20
endometrium 2	11042	148	10212	136	0.7529605299478794	0.920074103480217	irefindex.v20
epididymis	11042	470	10212	429	0.32455829374204775	0.843875513272152	irefindex.v20
esophagus	11042	294	10212	276	0.4318851858767241	1.2530864197530864	irefindex.v20
fallopian tube	11042	408	10212	382	0.44335759639810357	1.2016902731043118	irefindex.v20
gallbladder	11042	566	10212	517	0.2872401059334033	0.8499584258664786	irefindex.v20
heart muscle	11042	428	10212	402	0.3027727397199472	1.2671841919548341	irefindex.v20
hippocampus	11042	460	10212	435	0.08617168522813096	1.432648051549555	irefindex.v20
kidney	11042	424	10212	393	1.0	1.0315977252791657	irefindex.v20
liver	11042	222	10212	210	0.30165277359851106	1.4312137572485504	irefindex.v20
lung	11042	267	10212	257	0.01789737898069511	2.116926167754897	irefindex.v20
lymph node	11042	456	10212	422	1.0	1.009169020008412	irefindex.v20
nasopharynx	11042	363	10212	339	0.612144329552915	1.1531196191633748	irefindex.v20
oral mucosa	11042	238	10212	222	0.803132288871926	1.1305555555555555	irefindex.v20
ovary	11042	134	10212	125	0.8691960272817886	1.130442924336054	irefindex.v20
pancreas	11042	198	10212	185	0.7848541670698849	1.1595231336928753	irefindex.v20
parathyroid gland	11042	204	10212	188	0.7893123523112686	0.954160015961692	irefindex.v20
placenta	11042	412	10212	373	0.12749690627853186	0.7688997995939758	irefindex.v20
prostate	11042	246	10212	228	1.0	1.030181623931624	irefindex.v20
rectum	11042	489	10212	459	0.2547804451149174	1.2549984620116887	irefindex.v20
salivary gland	11042	285	10212	269	0.2545756215318499	1.37638288242985	irefindex.v20
seminal vesicle	11042	267	10212	252	0.28905377541001287	1.3746987951807228	irefindex.v20
skeletal muscle	11042	403	10212	382	0.08240456817344999	1.4970595359201666	irefindex.v20
