	M	N	n	x	P-value	stat	Network
cervix	11131	55	1880	2	0.005773031143793177	0.18482126710470795	pid2
colon	11131	68	1880	15	0.2556459447291024	1.3958217411098184	pid2
duodenum	11131	101	1880	13	0.349607663697018	0.7250267809319765	pid2
endometrium 1	11131	65	1880	2	0.0012442708361822688	0.15531551633788054	pid2
endometrium 2	11131	55	1880	0	7.633077877069291e-05	0.0	pid2
epididymis	11131	68	1880	2	0.0005495728161833463	0.14820731274405397	pid2
esophagus	11131	35	1880	1	0.021987903269046767	0.14427261058760918	pid2
fallopian tube	11131	119	1880	4	6.4442619996335935e-06	0.16938907944748308	pid2
gallbladder	11131	50	1880	8	1.0	0.937016687016687	pid2
heart muscle	11131	107	1880	11	0.06946910530339322	0.5612682807205279	pid2
hippocampus	11131	126	1880	12	0.023112105069116057	0.5148765919080356	pid2
kidney	11131	132	1880	32	0.034416682329027073	1.5845887445887445	pid2
liver	11131	98	1880	14	0.5881189610136812	0.8187745623436942	pid2
lung	11131	83	1880	24	0.0072900531589713425	2.0146113383985975	pid2
lymph node	11131	130	1880	45	7.725483732509003e-07	2.6444622535662767	pid2
nasopharynx	11131	90	1880	4	0.0005725033315138739	0.22722764912976645	pid2
oral mucosa	11131	33	1880	2	0.10641765119915411	0.31674052698478133	pid2
ovary	11131	36	1880	5	0.8239586937150363	0.7931182795698924	pid2
pancreas	11131	64	1880	8	0.4062065902504157	0.7016941391941391	pid2
parathyroid gland	11131	14	1880	3	0.7179254605541355	1.342567927543953	pid2
placenta	11131	100	1880	17	1.0	1.0079351221310362	pid2
prostate	11131	28	1880	8	0.1240233819875856	1.9724358974358975	pid2
rectum	11131	45	1880	7	1.0	0.9061033523477674	pid2
salivary gland	11131	50	1880	2	0.012278052750376491	0.2041844160454384	pid2
seminal vesicle	11131	21	1880	2	0.5605330074767412	0.5174597836444146	pid2
skeletal muscle	11131	131	1880	12	0.018211037573219582	0.49297320641318626	pid2
skin 1	11131	41	1880	4	0.29640137590063986	0.5309744712729787	pid2
skin 2	11131	44	1880	4	0.22486848876113275	0.4909914712153518	pid2
small intestine	11131	106	1880	17	0.8968299225921197	0.9393692666775226	pid2
smooth muscle	11131	42	1880	9	0.4107594837178563	1.3436664885088188	pid2
soft tissue 1	11131	12	1880	5	0.03820081060540408	3.5215238095238095	pid2
soft tissue 2	11131	25	1880	5	0.5989597117924971	1.2308	pid2
spleen	11131	140	1880	47	1.1870696269965476e-06	2.5249517507582024	pid2
stomach 1	11131	78	1880	7	0.06775411427935907	0.4832196596557455	pid2
stomach 2	11131	69	1880	4	0.009508313551524572	0.3013285222240446	pid2
testis	11131	487	1880	34	7.789902239443164e-11	0.35771156058442694	pid2
thyroid gland	11131	26	1880	2	0.2960075014477115	0.4094337948171814	pid2
tonsil	11131	149	1880	47	1.2250927789462112e-05	2.2998994469582703	pid2
urinary bladder	11131	22	1880	3	1.0	0.7766032021983569	pid2
vagina	11131	32	1880	2	0.15264133671035396	0.3273340433084842	pid2
adrenal gland	11131	78	2738	3	1.0869449481355796e-06	0.1216526508226691	wan
appendix	11131	111	2738	5	2.219988837548922e-08	0.14302825701247507	wan
bone marrow	11131	176	2738	6	1.5520672698301767e-14	0.10623116010679529	wan
breast	11131	16	2738	2	0.3861561265332717	0.4375	wan
bronchus	11131	116	2738	6	4.711616538191286e-08	0.16537335285505125	wan
caudate	11131	137	2738	6	3.237889113045774e-10	0.13851105920221743	wan
cerebellum	11131	98	2738	3	9.169170175512986e-09	0.09581064177811989	wan
cerebral cortex	11131	151	2738	8	3.883162523046651e-10	0.16906170752324598	wan
cervix	11131	55	2738	5	0.006800178690311873	0.3052689352360044	wan
colon	11131	68	2738	1	2.237903513577373e-07	0.045403235921234165	wan
duodenum	11131	101	2738	9	9.975841690326446e-05	0.2975648031608967	wan
endometrium 1	11131	65	2738	1	3.252957058217328e-07	0.04754863902082572	wan
endometrium 2	11131	55	2738	0	2.8075102819963216e-07	0.0	wan
epididymis	11131	68	2738	0	6.083579965250528e-09	0.0	wan
esophagus	11131	35	2738	7	0.6943042548465475	0.765745148297327	wan
fallopian tube	11131	119	2738	6	2.0048191229379242e-08	0.1609246038430143	wan
gallbladder	11131	50	2738	1	1.9955145534620123e-05	0.06221619082415575	wan
heart muscle	11131	107	2738	16	0.01783658779705196	0.5362572768891652	wan
hippocampus	11131	126	2738	6	3.830512622875492e-09	0.15140922401171303	wan
kidney	11131	132	2738	7	5.102153223350287e-09	0.16953789820578544	wan
liver	11131	98	2738	11	0.0013276519799353972	0.385105943544546	wan
lung	11131	83	2738	7	0.00027308036970556833	0.2804977933666095	wan
lymph node	11131	130	2738	4	2.1574749900101832e-11	0.09599284727302285	wan
nasopharynx	11131	90	2738	6	1.2277734409256944e-05	0.21724011713030747	wan
oral mucosa	11131	33	2738	5	0.3096716623938863	0.546560556165386	wan
ovary	11131	36	2738	1	0.0007360861325155897	0.08724881256850567	wan
pancreas	11131	64	2738	5	0.0011131531882964537	0.2584234125286052	wan
parathyroid gland	11131	14	2738	0	0.028412208006588724	0.0	wan
placenta	11131	100	2738	6	1.7518466631426696e-06	0.19389582879038036	wan
prostate	11131	28	2738	1	0.006890037616471929	0.11320856845153521	wan
rectum	11131	45	2738	1	7.813273912138259e-05	0.06932773109243698	wan
salivary gland	11131	50	2738	1	1.9955145534620123e-05	0.06221619082415575	wan
seminal vesicle	11131	21	2738	1	0.03915132099198863	0.1529594446474242	wan
skeletal muscle	11131	131	2738	21	0.02420831400145059	0.5820022083179978	wan
skin 1	11131	41	2738	3	0.009620514555979766	0.24117194265370923	wan
skin 2	11131	44	2738	4	0.013621815041918204	0.30552304316020484	wan
small intestine	11131	106	2738	10	9.741354163445823e-05	0.31681482160312807	wan
smooth muscle	11131	42	2738	4	0.01953021325936843	0.32168020636815153	wan
soft tissue 1	11131	12	2738	1	0.31518376799457337	0.278407014979905	wan
soft tissue 2	11131	25	2738	0	0.0016112058521958901	0.0	wan
spleen	11131	140	2738	5	1.531100789036599e-11	0.11191066661245952	wan
stomach 1	11131	78	2738	3	1.0869449481355796e-06	0.1216526508226691	wan
stomach 2	11131	69	2738	2	1.617453123406814e-06	0.09083966134241075	wan
testis	11131	487	2738	20	1.0092882712549177e-35	0.12488714305297541	wan
thyroid gland	11131	26	2738	1	0.01055088780659966	0.12229448301059555	wan
tonsil	11131	149	2738	6	1.635288283616494e-11	0.1267034575965762	wan
urinary bladder	11131	22	2738	1	0.025050746590584982	0.14565826330532214	wan
vagina	11131	32	2738	4	0.14862138187258522	0.4370885149963424	wan
