	M	N	n	x	P-value	stat	Network
Pituitary	34812	516	3422	12	2.4918814952496666e-11	0.2156542382348834	wan
Prostate	34812	194	3422	3	5.279731296083962e-06	0.14332747856527045	wan
Skin - Not Sun Exposed (Suprapubic)	34812	607	3422	28	2.4961735359243477e-06	0.439008999931811	wan
Skin - Sun Exposed (Lower leg)	34812	627	3422	31	9.520321946228276e-06	0.47233893903918583	wan
Small Intestine - Terminal Ileum	34812	568	3422	10	8.539080993904979e-15	0.16194161865984277	wan
Spleen	34812	1103	3422	22	8.926121127948283e-26	0.18142188605321868	wan
Stomach	34812	174	3422	4	0.00017295893084347838	0.21491756445117544	wan
Testis	34812	4545	3422	162	1.1192834435678454e-64	0.30619795668988803	wan
Thyroid	34812	396	3422	11	9.065112934676358e-08	0.259705993215228	wan
Uterus	34812	140	3422	8	0.11658579992974649	0.5548987236157711	wan
Vagina	34812	308	3422	19	0.026976856617954154	0.6008529010124386	wan
Whole Blood	34812	728	3422	41	5.242398195886494e-05	0.541954418625877	wan
